state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,301,0.00712577827229469,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,1231,0.022111256803118207,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,6109,0.12130177514792899,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,1020,8.947368421052632,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,3021,0.056485238300020564,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,15714,0.3554238668234868,6.717633221749751
7,DELHI,1483,7,DELHI,444000,22477,15.156439649359406,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,3541,0.010346570671372929,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,24786,0.10287720812856953,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,71,0.0007540116606310335,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,255,0.03593573844419391,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,34,0.00021222808276895227,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,20,0.0012063453766813438,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,93,0.004165360326062615,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,8,0.0003794886390588682,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,5,0.0004768262445164982,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,55,0.0024521824423737125,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,760,0.009689181264183177,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,15415,0.17368622678925547,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,87,0.0010914017612966354,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,147,0.000944080869838864,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,7375,0.023925230006617962,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,25452,0.1298412439293148,1.4539036036403705
25,DAMAN & DIU,401,25,DAMAN & DIU,50000,156,0.38902743142144636,124.68827930174564
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,69864,0.22704273137631495,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,7341,0.045822539870790546,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,11095,0.05784942984811592,1.5746307178126189
30,GOA,3702,30,GOA,502000,3827,1.0337655321447865,135.602377093463
32,KERALA,38863,32,KERALA,269000,27579,0.7096467076653886,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,515,1.0751565762004176,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,12250,0.10929985634876023,2.7570331111646458
