State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,sdtname,dtname,stname,number_of_cell_towers,cell_towers_per_area,% Rural_pop_per_area,% Rural_house_per_area
9,136,726,Rampur,115488,670879,328.7765526552744,2041.0,UTTAR PRADESH,Rampur,351.2659253444097,47.940239596111965,45.38739955666389,91.6751970969482,Rampur,Rampur,UTTAR PRADESH,1,0.0030415794311479,0.1458140466798367,0.1380493809248406
9,137,731,Hasanpur,101012,595917,903.4204295630076,660.0,UTTAR PRADESH,Jyotiba Phule Nagar,111.8106218262746,85.61360055175469,86.04027244287808,98.86874375810348,Hasanpur,Jyotiba Phule Nagar,UTTAR PRADESH,1,0.0011069043462784,0.09476606655128082,0.09523835152200014
9,138,733,Mawana,126121,772441,1044.234301779646,740.0,UTTAR PRADESH,Meerut,120.77844961141106,75.74973363661431,75.75344312208118,96.97768978224394,Mawana,Meerut,UTTAR PRADESH,2,0.001915278971962,0.0725409359829658,0.07254448833272156
9,138,734,Meerut,361302,2102157,929.4416488152798,2262.0,UTTAR PRADESH,Meerut,388.7301590804937,30.54048769906339,28.3173079584392,79.0616226152485,Meerut,Meerut,UTTAR PRADESH,1,0.0010759147723524,0.032858961870271326,0.030467009945739018
9,140,739,Ghaziabad,519804,2705849,457.0,5921.0,UTTAR PRADESH,Ghaziabad,1137.4266958424507,10.87858191643362,9.083808512439305,40.647702407002186,Ghaziabad,Ghaziabad,UTTAR PRADESH,2,0.0043763676148796,0.023804336797447746,0.01987704269680373
9,141,742,Dadri,234537,1110093,578.9706034863008,1917.0,UTTAR PRADESH,Gautam Buddha Nagar,405.0931059154361,29.456901358715,22.948617915296943,80.05943664413842,Dadri,Gautam Buddha Nagar,UTTAR PRADESH,2,0.0034544068178192,0.050878060442687036,0.03963693109306531
9,141,743,Gautam Buddha Nagar,55578,316790,333.0740153337743,951.0,UTTAR PRADESH,Gautam Buddha Nagar,166.8638123700678,58.17860412260488,53.78567058908202,89.75302832741298,Gautam Buddha Nagar,Gautam Buddha Nagar,UTTAR PRADESH,1,0.0030023356790468,0.17467169891444084,0.16148263783106365
9,142,747,Siana,85716,510190,873.7805324094309,584.0,UTTAR PRADESH,Bulandshahr,98.0978596120012,82.9784982065505,84.18498296700733,97.13658074631076,Siana,Bulandshahr,UTTAR PRADESH,1,0.0011444521397638,0.09496491982688043,0.09634568389257776
9,143,755,Koil,305209,1810181,1046.181944917516,1730.0,UTTAR PRADESH,Aligarh,291.7360612871823,41.53750370819272,41.46732239219682,86.22992867542195,Koil,Aligarh,UTTAR PRADESH,1,0.0009558566794792,0.03970390036837011,0.03963681708870079
9,145,763,Mahavan,57196,351792,475.1697188535452,740.0,UTTAR PRADESH,Mathura,120.36962316958734,84.26683949606586,84.58633470872088,96.9800264135891,Mahavan,Mathura,UTTAR PRADESH,1,0.0021045112100424,0.17734050835431756,0.17801288961090495
9,145,764,Mathura,202262,1187244,1077.6939503360225,1102.0,UTTAR PRADESH,Mathura,187.6803706070125,51.80695796314827,50.318893316589374,91.19416045989584,Mathura,Mathura,UTTAR PRADESH,3,0.0027837216670508,0.04807205046200267,0.04669126452913655
9,146,765,Etmadpur,59287,367441,469.8820388961743,782.0,UTTAR PRADESH,Agra,126.17422053261356,91.69336029457791,91.71150505169769,98.59964853828902,Etmadpur,Agra,UTTAR PRADESH,1,0.0021281937108069,0.19514123270167938,0.1951798482596658
9,146,766,Agra,364604,2186655,542.6090305431485,4030.0,UTTAR PRADESH,Agra,671.9460596426741,18.86100002057937,17.58181479084157,67.12918695410161,Agra,Agra,UTTAR PRADESH,1,0.0018429475805056,0.034759834353843354,0.03240236302967954
9,146,767,Kiraoli,78901,506777,719.6357058382329,704.0,UTTAR PRADESH,Agra,109.64019622691733,81.24303194501724,81.60352847238946,94.81682194235306,Kiraoli,Agra,UTTAR PRADESH,1,0.0013895919725595,0.11289466501719118,0.1133956080977632
9,147,771,Tundla,58949,361489,385.7863011770747,937.0,UTTAR PRADESH,Firozabad,152.8022115356102,82.04482017433449,80.73589034589222,95.74894184942238,Tundla,Firozabad,UTTAR PRADESH,1,0.0025921086284009,0.2126690862895004,0.20927619798722377
9,147,772,Firozabad,157923,956082,450.8644052359781,2121.0,UTTAR PRADESH,Firozabad,350.2671716063827,36.80311939770856,36.78374904225477,95.26465168861009,Firozabad,Firozabad,UTTAR PRADESH,1,0.0022179617383559,0.08162791067626232,0.08158494796900746
9,149,778,Gunnaur,91036,554275,905.769363402098,612.0,UTTAR PRADESH,Budaun,100.5068218007131,90.73726940598078,91.00136209851048,98.1783442157918,Gunnaur,Budaun,UTTAR PRADESH,1,0.001104033808611,0.10017701312524943,0.10046858038640934
9,150,787,Bareilly,289242,1628338,728.4039995284566,2235.0,UTTAR PRADESH,Bareilly,397.0900766432436,32.67042837543557,31.146583137995176,77.3092953763301,Bareilly,Bareilly,UTTAR PRADESH,1,0.0013728645101445,0.044852071647856505,0.042760038602421724
9,150,789,Faridpur,79848,472366,644.5779664711732,733.0,UTTAR PRADESH,Bareilly,123.87640309385436,81.42774882188812,81.90562067929065,97.99869051208456,Faridpur,Bareilly,UTTAR PRADESH,1,0.0015514027038104,0.12632722968747293,0.12706860137912213
9,152,795,Shahjahanpur,176012,999095,1042.4322240094868,958.0,UTTAR PRADESH,Shahjahanpur,168.84742810713243,61.317192058813234,61.51739654114492,95.9220370379098,Shahjahanpur,Shahjahanpur,UTTAR PRADESH,1,0.0009592949804964,0.05882127456015328,0.05901332971512695
9,153,799,Gola Gokaran Nath,133194,702701,1318.0626478699392,533.0,UTTAR PRADESH,Kheri,101.0528598282098,87.99318629118217,88.24796912773849,98.55924905916356,Gola Gokaran Nath,Kheri,UTTAR PRADESH,1,0.0007586892790081,0.06675948706488567,0.06695278807145624
9,157,820,Bakshi Ka Talab,62443,349654,418.0314740727286,836.0,UTTAR PRADESH,Lucknow,149.3739200822382,81.40218616117649,81.6969075797127,88.79031773769088,Bakshi Ka Talab,Lucknow,UTTAR PRADESH,1,0.002392164375226,0.19472740980028272,0.19543243187832113
9,157,821,Lucknow,641360,3391208,937.5748069422076,3617.0,UTTAR PRADESH,Lucknow,684.062749181286,13.826488967942987,13.09482973680928,57.054093495409,Lucknow,Lucknow,UTTAR PRADESH,1,0.0010665815597812,0.014747078169726521,0.0139667039257556
9,161,838,Etawah,102656,591152,645.4197086192038,916.0,UTTAR PRADESH,Etawah,159.05309154506594,54.63975424256368,54.70990492518703,95.0512822007974,Etawah,Etawah,UTTAR PRADESH,1,0.0015493793986232,0.0846577095692642,0.08476639959172018
9,164,849,Kanpur,655848,3470334,1122.070875568844,3093.0,UTTAR PRADESH,Kanpur Nagar,584.4978372400157,15.51833339384624,15.36758517217404,72.38498861821775,Kanpur,Kanpur Nagar,UTTAR PRADESH,2,0.0017824186007733,0.013830083047097251,0.013695734829926231
9,166,860,Jhansi,163344,885160,1185.331251772931,747.0,UTTAR PRADESH,Jhansi,137.8045164638004,28.89624474671246,28.997698109511216,80.27386862109059,Jhansi,Jhansi,UTTAR PRADESH,1,0.0008436460259562,0.024378202045623607,0.02446379277196868
9,168,864,Hamirpur,68440,364464,1105.331270472338,330.0,UTTAR PRADESH,Hamirpur,61.918089018465686,75.85083849159314,75.85037989479837,98.56875486810036,Hamirpur,Hamirpur,HIMACHAL PRADESH,1,0.0009047061516432,0.06862272019064476,0.06862230529530342
9,172,878,Fatehpur,196757,1096453,1632.1726975930003,672.0,UTTAR PRADESH,Fatehpur,120.5491307936726,81.37412182738339,81.34704229074443,96.38641180023542,Fatehpur,Fatehpur,UTTAR PRADESH,1,0.0006126802644565,0.04985631848111878,0.04983972738344946
9,176,898,Nawabganj,172028,978098,1052.0559808758976,930.0,UTTAR PRADESH,Bara Banki,163.51601352693868,78.55409171678093,79.71725533052759,97.50013302732202,Nawabganj,Bara Banki,UTTAR PRADESH,1,0.0009505197614745,0.07466721652148216,0.07577282652217647
9,177,905,Faizabad,115958,691457,425.4579828746224,1625.0,UTTAR PRADESH,Faizabad,272.5486526695904,61.0163755663765,60.2062815847117,87.32189730333594,Faizabad,Faizabad,UTTAR PRADESH,3,0.0070512250815706,0.1434133992600565,0.14150934759274172
9,182,925,Balrampur,104998,666644,1074.3770956810292,620.0,UTTAR PRADESH,Balrampur,97.7291869140635,86.9810573559501,87.26737652145755,95.801288003873,Balrampur,Balrampur,UTTAR PRADESH,1,0.0009307718900747,0.08095952315589369,0.08122602098673767
9,183,930,Tarabganj,119931,761822,1069.6036881940406,712.0,UTTAR PRADESH,Gonda,112.12657671599472,97.72729062694437,97.68700336026548,99.67184107172196,Tarabganj,Gonda,UTTAR PRADESH,1,0.0009349257215898,0.09136775770841893,0.09133009210654829
9,185,939,Basti,149064,949461,828.5290446582384,1146.0,UTTAR PRADESH,Basti,179.91403072838287,87.92399055885392,87.99576021037943,97.65005220691675,Basti,Basti,UTTAR PRADESH,1,0.00120695829126,0.10612058940567601,0.10620721238164557
9,188,950,Gorakhpur,264606,1629421,840.146625725105,1939.0,UTTAR PRADESH,Gorakhpur,314.9521665597676,55.64682178516173,54.39294649403264,80.25344684842165,Gorakhpur,Gorakhpur,UTTAR PRADESH,2,0.0023805368476887,0.0662346548581739,0.06474220669170426
9,197,996,Varanasi,467569,3049543,840.377526550161,3629.0,UTTAR PRADESH,Varanasi,556.3797046303944,48.00309423411967,46.203020302885776,81.01091533764676,Varanasi,Varanasi,UTTAR PRADESH,1,0.0011899413875393,0.057120868559131364,0.054978886087725456
9,198,997,Bhadohi,81344,568985,352.5554924587281,1614.0,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),230.7267983054399,76.51256184257933,76.82803894571204,93.57547946791624,Bhadohi,Sant Ravidas Nagar (Bhadohi),UTTAR PRADESH,1,0.0028364329059972,0.2170227481324412,0.2179175777688555
10,211,1133,Krityanand Nagar,46461,230504,283.5275775401936,813.0,BIHAR,Purnia,163.8676576122955,100.0,100.0,100.0,Krityanand Nagar,Purnia,BIHAR,1,0.0035269937713845,0.35269937713845045,0.35269937713845045
10,212,1148,Azamnagar,67875,315610,294.0831449240912,1073.0,BIHAR,Katihar,230.8020747585514,100.0,100.0,100.0,Azamnagar,Katihar,BIHAR,1,0.0034003988914703,0.34003988914703703,0.34003988914703703
10,212,1151,Katihar,62850,321817,114.5853198407817,2809.0,BIHAR,Katihar,548.4995816857794,25.163058508406948,25.124900556881464,54.88078222250629,Katihar,Katihar,BIHAR,1,0.0087271214269813,0.21960106707710428,0.2192680580007365
10,215,1189,Bahadurpur,51782,261805,154.879732047792,1690.0,BIHAR,Darbhanga,334.3368387544819,98.31706804682877,98.30249893785484,99.32851123497612,Bahadurpur,Darbhanga,BIHAR,1,0.0064566227406141,0.6347962173416635,0.6347021501013519
10,216,1212,Musahri,131025,683073,183.8840163293916,3715.0,BIHAR,Muzaffarpur,712.5415390389059,43.97289894345114,45.6286968135852,82.61947904011947,Musahri,Muzaffarpur,BIHAR,1,0.0054382105631666,0.23913388352733414,0.24813846099516595
10,220,1278,Hajipur,74900,443976,166.68743176714742,2664.0,BIHAR,Vaishali,449.3440159581492,66.73513883633349,67.913217623498,88.2174679927663,Hajipur,Vaishali,BIHAR,1,0.005999252549508,0.40036095180564407,0.40742854397306205
10,221,1288,Samastipur,67323,346109,175.77595677834086,1969.0,BIHAR,Samastipur,383.00459991178695,76.9350118026402,77.0137991473939,96.97341997306908,Samastipur,Samastipur,BIHAR,1,0.0056890602009979,0.4376879137097102,0.43813613965709075
10,222,1312,Barauni,52069,273414,97.10974854358096,2816.0,BIHAR,Begusarai,536.1871571177269,67.96323524033151,68.05584896963644,65.83247253996392,Barauni,Begusarai,BIHAR,1,0.0102976273236998,0.6998600682178776,0.7008137698873178
10,222,1314,Begusarai,102790,540009,223.6348252917236,2415.0,BIHAR,Begusarai,459.6332430153226,51.59636228285084,52.69967895709699,78.29944422265433,Begusarai,Begusarai,BIHAR,1,0.0044715754744169,0.23071702815312972,0.23565059193420415
10,224,1338,Sabour,26739,142805,138.40178652354572,1032.0,BIHAR,Bhagalpur,193.1983731687669,91.19428591435874,91.12158270690752,97.31217342388342,Sabour,Bhagalpur,BIHAR,1,0.0072253402583779,0.6589097453510416,0.6583844399393312
10,224,1343,Jagdishpur,101815,572253,100.3888505934645,5700.0,BIHAR,Bhagalpur,1014.2062529663862,21.904472322556632,23.021165840003928,59.696719545234025,Jagdishpur,Bhagalpur,BIHAR,1,0.0099612655597543,0.21819626575127513,0.22931994642742376
10,229,1386,Bihar,81737,494489,171.23578679353005,2888.0,BIHAR,Nalanda,477.3359677352698,39.883799235170045,40.49084258047152,86.27623323368996,Bihar,Nalanda,BIHAR,1,0.0058399007516212,0.23291742913098237,0.2364625020194752
10,230,1399,Dinapur-Cum-Khagaul,64547,397817,106.59340818485504,3732.0,BIHAR,Patna,605.5440115777342,33.912326521993776,33.6870807318698,76.4056704553581,Dinapur-Cum-Khagaul,Patna,BIHAR,1,0.0093814431589033,0.31814656365225497,0.3160334330754246
10,230,1400,Patna Rural,308154,1771140,145.15246944714028,12202.0,BIHAR,Patna,2122.967670985573,4.703863048657927,4.141435775618684,25.368131584251003,Patna Rural,Patna,BIHAR,1,0.0068893075247622,0.032406359096569956,0.028531624652289214
10,230,1408,Masaurhi,41831,241216,200.25026697789548,1205.0,BIHAR,Patna,208.8936041449448,75.20769766516318,75.59226411034878,95.29089267029994,Masaurhi,Patna,BIHAR,1,0.0049937511449629,0.3755685263254353,0.3774889554513952
10,231,1422,Arrah,68857,462618,191.20224213781788,2420.0,BIHAR,Bhojpur,360.12653005589823,43.4890125330186,42.96295220529503,83.80249119794478,Arrah,Bhojpur,BIHAR,1,0.0052300641918163,0.22745032718639294,0.2246989979036307
10,234,1473,Dehri,45101,275014,173.82112913461967,1582.0,BIHAR,Rohtas,259.46788071472326,50.100358527202246,48.48451253852464,87.7345176008561,Dehri,Rohtas,BIHAR,1,0.0057530405249267,0.2882293929203561,0.27893336546545344
10,235,1481,Aurangabad,43336,283193,269.1363998562775,1052.0,BIHAR,Aurangabad,161.01872516367916,63.89600025424357,63.58224109285583,92.0746506190205,Aurangabad,Aurangabad,MAHARASHTRA,1,0.0037155880829721,0.23741121709425,0.23624541729327442
10,236,1495,Gaya Town C.D.Block,101087,646956,190.0787039028853,3404.0,BIHAR,Gaya,531.8165471690463,26.42668125807629,27.5485472909474,72.91122101384529,Gaya Town C.D.Block,Gaya,BIHAR,1,0.0052609786339395,0.13903020546466985,0.1449323186937473
10,239,1536,Jehanabad,41597,254753,167.24298001571827,1523.0,BIHAR,Jehanabad,248.7219493224201,59.48938775990862,59.6076640142318,87.90382711543488,Jehanabad,Jehanabad,BIHAR,1,0.0059793242138235,0.3557063366983626,0.3564135487697576
11,244,1553,Gangtok,47775,219450,563.0,390.0,SIKKIM,East District,84.85790408525754,46.86534518113466,42.60177917320775,96.23978685612788,Gangtok,East District,SIKKIM,1,0.0017761989342806,0.08324217616542567,0.07566923476591075
13,265,1796,Dimapur Sadar,36444,169613,31.45801005116532,5391.7269313644,NAGALAND,Dimapur,1158.496673525285,14.14867964130108,12.8827790582812,42.36761966026391,Dimapur Sadar,Dimapur,NAGALAND,1,0.0317884061443662,0.4497639748442054,0.4095230129727794
13,265,1797,Chumukedima,24764,125400,181.9595944994697,689.1639890985,NAGALAND,Dimapur,136.09614853297649,65.29824561403508,65.27216927798418,84.61196834548804,Chumukedima,Dimapur,NAGALAND,1,0.0054957255908971,0.3588612394617388,0.358717931074387
13,270,1849,Kohima Sadar,26138,116870,40.85630863545614,2860.512951446065,NAGALAND,Kohima,639.7543212535061,1.79430136048601,1.7292830361925169,63.28596365903054,Kohima Sadar,Kohima,NAGALAND,1,0.0244760242273129,0.04391736357035618,0.04232597348972935
14,275,1873,Nambol,12589,61882,113.0,547.6283185840708,MANIPUR,Bishnupur,111.40707964601768,60.82544197020136,59.88561442529192,88.99999999999999,Nambol,Bishnupur,MANIPUR,1,0.0088495575221238,0.5382782475239059,0.5299611896043532
14,276,1877,Thoubal,41608,199310,261.0,763.639846743295,MANIPUR,Thoubal,159.4176245210728,62.90452059605639,62.73312824456835,93.40613026819923,Thoubal,Thoubal,MANIPUR,1,0.003831417624521,0.2410134888737793,0.24035681319757987
14,277,1881,Lamphelpat,48862,221422,60.0,3690.366666666667,MANIPUR,Imphal West,814.3666666666667,4.391162576437752,4.330563628177315,41.68333333333333,Lamphelpat,Imphal West,MANIPUR,1,0.0166666666666666,0.0731860429406292,0.07217606046962192
