State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,sdtname,dtname,stname,number_of_cell_towers,cell_towers_per_area,% Rural_pop_per_area,% Rural_house_per_area
1,1,1,Kupwara,63022,540914,301.94,1791.0,JAMMU & KASHMIR,Kupwara,208.7235874677088,86.02532010633853,88.8800736250833,91.08763330463006,Kupwara,Kupwara,JAMMU & KASHMIR,2,0.0066238325495131,0.2849086577013265,0.29436336234047594
1,1,2,Handwara,39485,269311,291.47,924.0,JAMMU & KASHMIR,Kupwara,135.46848732288055,94.95007630583228,94.9069266810181,97.08374789858304,Handwara,Kupwara,JAMMU & KASHMIR,2,0.0068617696503928,0.32576277594892195,0.32561473455593404
1,1,3,Karnah,11422,60129,69.89,860.0,JAMMU & KASHMIR,Kupwara,163.42824438403204,74.15889171614363,73.90999824899318,82.93031907282872,Karnah,Kupwara,JAMMU & KASHMIR,1,0.0143081985977965,1.0610801504670715,1.0575189333093886
1,2,7,Budgam,19774,133855,146.16,916.0,JAMMU & KASHMIR,Badgam,135.29009304871374,82.9673900862874,83.52887630221502,89.92884510125889,Budgam,Badgam,JAMMU & KASHMIR,2,0.0136836343732895,0.5676477154234223,0.57148930146562
1,3,10,Leh,15497,93961,171.06,549.0,JAMMU & KASHMIR,Leh,90.5939436455045,51.393663328402205,54.80415564302768,85.96398924354028,Leh,Leh,LADAKH,1,0.0058459020226821,0.3004423204045493,0.3203797243249601
1,5,16,Haveli,25558,132767,278.42,477.0,JAMMU & KASHMIR,Punch,91.7965663386251,79.7735883163738,80.65967603098834,96.27900294519073,Haveli,Punch,JAMMU & KASHMIR,2,0.0071833919977013,0.28652247796987934,0.28970503566909106
1,5,19,Surankote,23056,124755,250.23,499.0,JAMMU & KASHMIR,Punch,92.13923190664588,94.59500621217587,94.07095766828591,98.0537905127283,Surankote,Punch,JAMMU & KASHMIR,1,0.0039963233824881,0.3780322351923266,0.3759379677428203
1,6,20,Thanamandi,13644,67773,148.69,456.0,JAMMU & KASHMIR,Rajouri,91.76138274261888,91.89942897614094,92.8833186748754,97.18878202972628,Thanamandi,Rajouri,JAMMU & KASHMIR,1,0.0067254018427601,0.6180605889847397,0.6246776425776811
1,6,22,Rajauri,36640,189067,593.49,319.0,JAMMU & KASHMIR,Rajouri,61.73650777603666,84.40447037293659,88.08951965065502,97.82810156868692,Rajauri,Rajouri,JAMMU & KASHMIR,3,0.0050548450689986,0.14221717362202663,0.14842629134552396
1,6,26,Sunderbani,14263,64215,333.43,193.0,JAMMU & KASHMIR,Rajouri,42.77659478751162,89.20812894183602,92.02131388908364,99.9430165252077,Sunderbani,Rajouri,JAMMU & KASHMIR,2,0.0059982605044537,0.2675467982540144,0.27598390633441394
1,7,30,Kathua,41206,210949,563.89,374.0,JAMMU & KASHMIR,Kathua,73.07453581372253,66.33878330781374,65.53657234383343,94.6443455283832,Kathua,Kathua,JAMMU & KASHMIR,4,0.0070935820816116,0.1176449011470566,0.1162222638171158
1,8,32,Sopore,33709,219913,170.09,1293.0,JAMMU & KASHMIR,Baramula,198.1833147157388,67.58172550053885,66.79818446112314,88.88823563995531,Sopore,Baramula,JAMMU & KASHMIR,2,0.01175848080428,0.39732921100910606,0.3927225848734384
1,8,35,Baramulla,24196,149649,122.36,1223.0,JAMMU & KASHMIR,Baramula,197.74436090225564,52.26563491904389,51.54157712018515,80.40209218698921,Baramulla,Baramula,JAMMU & KASHMIR,3,0.02451781627983,0.4271464115645954,0.42122897286846317
1,8,36,Kreeri,11402,66954,84.19,795.0,JAMMU & KASHMIR,Baramula,135.43176149186365,100.0,100.0,100.0,Kreeri,Baramula,JAMMU & KASHMIR,1,0.011877895236964,1.1877895236964011,1.1877895236964011
1,10,43,Srinagar (North),188079,1216358,298.07,4081.0,JAMMU & KASHMIR,Srinagar,630.9893649142819,0.8969398811862955,0.9091924138261048,3.888348374542893,Srinagar (North),Srinagar,JAMMU & KASHMIR,1,0.0033549166303217,0.0030091585237907053,0.0030502647493075613
1,10,44,Srinagar (South),3599,20471,12.42,1648.0,JAMMU & KASHMIR,Srinagar,289.7745571658615,31.27839382541156,31.508752431230896,35.18518518518518,Srinagar (South),Srinagar,JAMMU & KASHMIR,2,0.1610305958132045,2.51838919689304,2.5369365886659336
1,11,47,Ganderbal,13415,85818,85.96,998.0,JAMMU & KASHMIR,Ganderbal,156.06095858538856,57.38889277307791,59.61237420797615,81.54955793392276,Ganderbal,Ganderbal,JAMMU & KASHMIR,2,0.0232666356444858,0.6676232290958343,0.6934896952998623
1,12,48,Pampore,12350,81564,112.41,726.0,JAMMU & KASHMIR,Pulwama,109.865670314029,61.34201363346574,61.68421052631579,73.35646294813628,Pampore,Pulwama,JAMMU & KASHMIR,1,0.0088960056934436,0.5456989025306088,0.5487430880376816
1,12,49,Awantipora,12091,86507,116.92,740.0,JAMMU & KASHMIR,Pulwama,103.41258980499488,85.38037384257922,91.04292448928956,95.72357167293876,Awantipora,Pulwama,JAMMU & KASHMIR,1,0.0085528566541224,0.7302460985509683,0.7786770825289904
1,12,50,Tral,18659,110196,117.87,935.0,JAMMU & KASHMIR,Pulwama,158.3015186222109,83.80703473810301,87.3733854976151,99.49096462204122,Tral,Pulwama,JAMMU & KASHMIR,1,0.0084839229659794,0.7110124267252312,0.7412690718385943
1,12,51,Pulwama,43141,282173,288.68,977.0,JAMMU & KASHMIR,Pulwama,149.44228903976722,93.46500196687848,94.24445423147354,98.96078703062214,Pulwama,Pulwama,JAMMU & KASHMIR,1,0.0034640432312595,0.32376680742302366,0.32646686376428413
1,13,52,Shopian,44411,266215,311.73,854.0,JAMMU & KASHMIR,Shupiyan,142.46623680749366,93.85459121386847,94.25142419670804,98.2549000737818,Shopian,Shupiyan,JAMMU & KASHMIR,3,0.0096237128284092,0.3010765444900025,0.3023495467125655
1,14,53,Pahalgam,19277,119884,125.22,957.0,JAMMU & KASHMIR,Anantnag,153.94505670020763,86.83477361449401,89.74425481143331,82.41494968854816,Pahalgam,Anantnag,JAMMU & KASHMIR,1,0.0079859447372624,0.6934577033580419,0.7166926594109033
1,14,55,Anantnag,48726,364763,188.83,1932.0,JAMMU & KASHMIR,Anantnag,258.04162474183124,49.21825952741917,53.34934121413619,75.79304135995339,Anantnag,Anantnag,JAMMU & KASHMIR,3,0.015887306042472,0.26064851732997496,0.2825257703444166
