sdtname,dtname,stname,number_of_cell_towers
Abhyachandpur,Jagatsinghapur,ODISHA,1
Abohar,Fazilka,PUNJAB,4
Achalpur,Amravati,MAHARASHTRA,2
Addanki,Prakasam,ANDHRA PRADESH,2
Adilabad,Adilabad,TELANGANA,1
Adityapur(Gamharia),Saraikela-Kharsawan,JHARKHAND,18
Adoni,Kurnool,ANDHRA PRADESH,2
Agra,Agra,UTTAR PRADESH,13
Ahmadabad City,Ahmadabad,GUJARAT,63
Airfield (Kapila Prasad),Khordha,ODISHA,1
Ajmer,Ajmer,RAJASTHAN,65
Ajnala,Amritsar,PUNJAB,2
Akbarpur,Ambedkar Nagar,UTTAR PRADESH,1
Akola,Akola,MAHARASHTRA,1
Alampur,Jogulamba Gadwal,TELANGANA,4
Alandur,Kancheepuram,TAMILNADU,4
Alangulam,Tirunelveli,TAMILNADU,2
Alathur,Palakkad,KERALA,4
Alibag,Raigarh,MAHARASHTRA,1
Alipurduar - I,Alipurduar,WEST BENGAL,1
Allahabad,Prayagraj,UTTAR PRADESH,9
Aluva,Ernakulam,KERALA,1
Alwar,Alwar,RAJASTHAN,21
Amangal,Ranga Reddy,TELANGANA,2
Amb,Una,HIMACHAL PRADESH,4
Ambadala,Rayagada,ODISHA,1
Ambala,Ambala,HARYANA,4
Ambalappuzha,Alappuzha,KERALA,1
Ambarnath,Thane,MAHARASHTRA,1
Ambattur,Thiruvallur,TAMILNADU,1
Ambejogai,Bid,MAHARASHTRA,1
Amber,Jaipur,RAJASTHAN,32
Amberpet,Hyderabad,TELANGANA,3
Amdanga,North Twenty Four Parganas,WEST BENGAL,3
Ameerpet,Hyderabad,TELANGANA,39
Amla,Betul,MADHYA PRADESH,1
Amloh,Fatehgarh Sahib,PUNJAB,7
Amnour,Saran,BIHAR,3
Amour,Purnia,BIHAR,1
Amravati,Amravati,MAHARASHTRA,1
Amritsar- II,Amritsar,PUNJAB,90
Anand,Anand,GUJARAT,3
Anantnag,Anantnag,JAMMU & KASHMIR,4
Anekal,Bangalore,KARNATAKA,3
Angara,Ranchi,JHARKHAND,2
Anugul,Anugul,ODISHA,7
Anuppur,Anuppur,MADHYA PRADESH,1
Araku Valley,Visakhapatnam,ANDHRA PRADESH,1
Aravakurichi,Karur,TAMILNADU,1
Ariyalur,Ariyalur,TAMILNADU,1
Arrah,Bhojpur,BIHAR,12
Arsikere,Hassan,KARNATAKA,1
Arvi,Wardha,MAHARASHTRA,1
Arwal,Arwal,BIHAR,2
Asansol Kulti Township,Paschim Bardhaman,WEST BENGAL,47
Ashti,Bid,MAHARASHTRA,1
Asifnagar,Hyderabad,TELANGANA,31
Asthawan,Nalanda,BIHAR,2
Ater,Bhind,MADHYA PRADESH,1
Attur,Dindigul,TAMILNADU,28
Ausgram - II,Purba Bardhaman,WEST BENGAL,1
Azamgarh,Azamgarh,UTTAR PRADESH,6
Azamnagar,Katihar,BIHAR,1
Azara,Kamrup Metropolitan,ASSAM,97
B.Kothakota,Chittoor,ANDHRA PRADESH,4
BHANJANAGAR,Ganjam,ODISHA,1
BRAHMAPUR SADAR,Ganjam,ODISHA,4
Badachana,Jajapur,ODISHA,1
Badami,Bagalkote,KARNATAKA,1
Baddi,Solan,HIMACHAL PRADESH,7
Badmal,Jharsuguda,ODISHA,5
Badnawar,Dhar,MADHYA PRADESH,7
Baghmara-Cum-Katras,Dhanbad,JHARKHAND,20
Bagnan - I,Haora,WEST BENGAL,2
Bagnan - II,Haora,WEST BENGAL,1
Bagodar,Giridih,JHARKHAND,1
Bagribari (Pt),Dhubri,ASSAM,3
Bahadurgarh,Jhajjar,HARYANA,6
Baharagora,Purbi Singhbhum,JHARKHAND,1
Bahraich,Bahraich,UTTAR PRADESH,3
Bairia,Ballia,UTTAR PRADESH,1
Baisi,Purnia,BIHAR,1
Bajali (Pt),Barpeta,ASSAM,6
Bakshi Ka Talab,Lucknow,UTTAR PRADESH,1
Balachaur,Shahid Bhagat Singh Nagar,PUNJAB,1
Balanagar,Mahbubnagar,TELANGANA,1
Balanagar,Rangareddy,TELANGANA,51
Balangir,Balangir,ODISHA,2
Baldwara,Mandi,HIMACHAL PRADESH,1
Baleshwar (M),Baleshwar,ODISHA,21
Baleshwar Sadar,Baleshwar,ODISHA,1
Bali,Pali,RAJASTHAN,1
Baliapur,Dhanbad,JHARKHAND,35
Ballabgarh,Faridabad,HARYANA,1
Ballarpur,Chandrapur,MAHARASHTRA,1
Ballia,Ballia,UTTAR PRADESH,1
Bally Jagachha,Haora,WEST BENGAL,22
Baloda Bazar,Baloda Bazar,CHATTISGARH,1
Balugaon,Khordha,ODISHA,1
Balurghat,Dakshin Dinajpur,WEST BENGAL,4
Bampada,Baleshwar,ODISHA,3
Banarpal,Anugul,ODISHA,7
Bandlaguda,Hyderabad,TELANGANA,9
