sdtname,dtname,stname,number_of_cell_towers
Aalo,West Siang,ARUNACHAL PRADESH,5
Abhanpur,Raipur,CHATTISGARH,11
Abhyachandpur,Jagatsinghapur,ODISHA,6
Abohar,Fazilka,PUNJAB,5
Abu Road,Sirohi,RAJASTHAN,141
Achampet,Mahbubnagar,TELANGANA,8
Achanta,West Godavari,ANDHRA PRADESH,2
Adampur,Hisar,HARYANA,3
Addakal,Mahbubnagar,TELANGANA,12
Addanki,Prakasam,ANDHRA PRADESH,18
Adilabad,Adilabad,TELANGANA,39
Adityapur(Gamharia),Saraikela-Kharsawan,JHARKHAND,84
Adoni,Kurnool,ANDHRA PRADESH,57
Afzalpur,Kalaburagi,KARNATAKA,51
Agamoni,Dhubri,ASSAM,1
Agar,Agar Malwa,MADHYA PRADESH,6
Agastheeswaram,Kanniyakumari,TAMILNADU,270
Agiaon,Bhojpur,BIHAR,3
Agiripalle,Krishna,ANDHRA PRADESH,5
Agra,Agra,UTTAR PRADESH,1187
Ahmadabad City,Ahmadabad,GUJARAT,1767
Ahmadpur,Latur,MAHARASHTRA,8
Ahore,Jalor,RAJASTHAN,5
Aibawk,Aizawl,MIZORAM,1
Ainavilli,East Godavari,ANDHRA PRADESH,5
Airfield (Kapila Prasad),Khordha,ODISHA,2
Ajmer,Ajmer,RAJASTHAN,501
Ajnala,Amritsar,PUNJAB,9
Ajra,Kolhapur,MAHARASHTRA,5
Akaltara,Janjgir - Champa,CHATTISGARH,5
Akbarpur,Kanpur Dehat,UTTAR PRADESH,29
Akbarpur,Nawada,BIHAR,6
Akividu,West Godavari,ANDHRA PRADESH,11
Akkalkot,Solapur,MAHARASHTRA,14
Aklera,Jhalawar,RAJASTHAN,13
Akola,Ahmadnagar,MAHARASHTRA,5
Akola,Akola,MAHARASHTRA,24
Alair,Yadadri Bhuvanagiri,TELANGANA,12
Alampur,Jogulamba Gadwal,TELANGANA,7
Alamuru,East Godavari,ANDHRA PRADESH,14
Alandur,Kancheepuram,TAMILNADU,1265
Alangudi,Pudukkottai,TAMILNADU,7
Alangulam,Tirunelveli,TAMILNADU,11
Alathur,Palakkad,KERALA,14
Algapur,Hailakandi,ASSAM,4
Alibag,Raigarh,MAHARASHTRA,18
Alinagar,Darbhanga,BIHAR,1
Alipurduar - I,Alipurduar,WEST BENGAL,22
Alipurduar - II,Alipurduar,WEST BENGAL,12
Allagadda,Kurnool,ANDHRA PRADESH,11
Allahabad,Prayagraj,UTTAR PRADESH,279
Allavaram,East Godavari,ANDHRA PRADESH,7
Almora,"Almora
",UTTARAKHAND,18
Alur,Hassan,KARNATAKA,51
Alur,Kurnool,ANDHRA PRADESH,3
Aluva,Ernakulam,KERALA,123
Alwar,Alwar,RAJASTHAN,276
Amadagur,Anantapur,ANDHRA PRADESH,1
Amadalavalasa,Srikakulam,ANDHRA PRADESH,7
Amalapuram,East Godavari,ANDHRA PRADESH,5
Amangal,Ranga Reddy,TELANGANA,4
Amaravathi,Guntur,ANDHRA PRADESH,9
Amarpur,Gomati,TRIPURA,1
Amarwara,Chhindwara,MADHYA PRADESH,8
Amas,Gaya,BIHAR,10
Amb,Una,HIMACHAL PRADESH,58
Ambabhona,Bargarh,ODISHA,5
Ambadala,Rayagada,ODISHA,1
Ambajipeta,East Godavari,ANDHRA PRADESH,31
Ambala,Ambala,HARYANA,478
Ambalappuzha,Alappuzha,KERALA,57
Ambarnath,Thane,MAHARASHTRA,85
Ambasamudram,Tirunelveli,TAMILNADU,110
Ambassa,Dhalai,TRIPURA,4
Ambattur,Thiruvallur,TAMILNADU,1753
Ambegaon,Pune,MAHARASHTRA,45
Ambejogai,Bid,MAHARASHTRA,6
Amber,Jaipur,RAJASTHAN,273
Amberpet,Hyderabad,TELANGANA,365
Ambikapur,Surguja,CHATTISGARH,8
Ambur,Vellore,TAMILNADU,155
Amdabad,Katihar,BIHAR,2
Amdanga,North Twenty Four Parganas,WEST BENGAL,5
Ameerpet,Hyderabad,TELANGANA,435
Amet,Rajsamand,RAJASTHAN,7
Amethi,Amethi,UTTAR PRADESH,14
Amguri,Sivasagar,ASSAM,10
Amla,Betul,MADHYA PRADESH,2
Amloh,Fatehgarh Sahib,PUNJAB,17
Amnour,Saran,BIHAR,1
Amour,Purnia,BIHAR,3
Amrabad,Mahbubnagar,TELANGANA,3
Amravati,Amravati,MAHARASHTRA,56
Amreli,Amreli,GUJARAT,26
Amritsar -I,Amritsar,PUNJAB,33
Amritsar- II,Amritsar,PUNJAB,258
Amroha,Jyotiba Phule Nagar,UTTAR PRADESH,66
Amruthalur,Guntur,ANDHRA PRADESH,5
Amta - I,Haora,WEST BENGAL,1
Anakapalle,Visakhapatnam,ANDHRA PRADESH,71
Anand,Anand,GUJARAT,171
Anandapuram,Visakhapatnam,ANDHRA PRADESH,12
Anandpur Sahib,Rupnagar,PUNJAB,16
Anantapur,Anantapur,ANDHRA PRADESH,129
Ananthagiri,Visakhapatnam,ANDHRA PRADESH,7
Anantnag,Anantnag,JAMMU & KASHMIR,23
Anaparthy,East Godavari,ANDHRA PRADESH,10
Andhratharhi,Madhubani,BIHAR,3
Andipatti,Theni,TAMILNADU,25
Andole,Medak,TELANGANA,5
Anekal,Bangalore,KARNATAKA,1673
Angara,Ranchi,JHARKHAND,5
Ani,Kullu,HIMACHAL PRADESH,1
