state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,905,0.021424682180819582,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,2001,0.03594201857273723,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,6564,0.13033636471943133,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,911,7.991228070175438,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,1716,0.032084961576575734,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,7255,0.1640957206188365,6.717633221749751
7,DELHI,1483,7,DELHI,444000,12650,8.530006743088334,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,7276,0.021259996668994474,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,16508,0.06851839553725594,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,4049,0.042999904421057104,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,42,0.005918827508455468,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,9,5.6178021909428546e-05,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,137,0.008263465830267205,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,92,0.004120571505352264,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,28,0.0013282102367060387,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,55,0.00524508868968148,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,345,0.015381871683980562,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,1251,0.01594890231775415,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,13790,0.15537678024157203,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,2672,0.0335198334044208,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,2690,0.017276037686166968,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,6379,0.020694107418605556,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,16474,0.08404072970656654,1.4539036036403705
25,DAMAN & DIU,401,25,DAMAN & DIU,50000,16,0.0399002493765586,124.68827930174564
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,35649,0.11585145898938297,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,12169,0.07595892762398178,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,24878,0.129714115886564,1.5746307178126189
30,GOA,3702,30,GOA,502000,1253,0.3384656942193409,135.602377093463
32,KERALA,38863,32,KERALA,269000,13298,0.3421763631217353,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,307,0.6409185803757829,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,15105,0.13477341470596108,2.7570331111646458
