state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,967,0.02289245046282048,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,2601,0.046719235536076736,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,11211,0.22260831579365395,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,2428,21.29824561403509,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,2551,0.047697399173569174,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,17885,0.4045281823939202,6.717633221749751
7,DELHI,1483,7,DELHI,444000,29071,19.60283209710047,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,9727,0.02842165854855817,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,26534,0.11013248771417188,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,4949,0.052557798710746256,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,117,0.016488162344983088,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,27,0.00016853406572828563,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,148,0.008926955787441945,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,147,0.006583956644421553,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,56,0.0026564204734120774,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,75,0.007152393667747473,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,390,0.017388202773195416,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,2021,0.02576557280909763,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,19606,0.22090769785469624,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,2885,0.036191885992422915,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,4894,0.031430828414907484,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,8289,0.026890336477946614,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,27320,0.13937068930335061,1.4539036036403705
25,DAMAN & DIU,401,25,DAMAN & DIU,50000,18,0.04488778054862843,124.68827930174564
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,81773,0.2657443786905331,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,17499,0.10922880059923223,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,60595,0.3159428753174028,1.5746307178126189
30,GOA,3702,30,GOA,502000,2720,0.7347379794705564,135.602377093463
32,KERALA,38863,32,KERALA,269000,26624,0.6850732058770553,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,819,1.709812108559499,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,29918,0.26694147773405785,2.7570331111646458
