State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,sdtname,dtname,stname,number_of_cell_towers,cell_towers_per_area,% Rural_pop_per_area,% Rural_house_per_area
1,1,3,Karnah,11422,60129,69.89,860.0,JAMMU & KASHMIR,Kupwara,163.42824438403204,74.15889171614363,73.90999824899318,82.93031907282872,Karnah,Kupwara,JAMMU & KASHMIR,11,0.1573901845757619,1.0610801504670715,1.0575189333093886
1,2,7,Budgam,19774,133855,146.16,916.0,JAMMU & KASHMIR,Badgam,135.29009304871374,82.9673900862874,83.52887630221502,89.92884510125889,Budgam,Badgam,JAMMU & KASHMIR,5,0.0342090859332238,0.5676477154234223,0.57148930146562
1,2,8,Chadoora,30390,212233,194.67,1090.0,JAMMU & KASHMIR,Badgam,156.11034057636002,77.71882789198663,78.65745310957551,88.73478193866544,Chadoora,Badgam,JAMMU & KASHMIR,2,0.0102737966815636,0.3992337180458552,0.40405534036870355
1,7,30,Kathua,41206,210949,563.89,374.0,JAMMU & KASHMIR,Kathua,73.07453581372253,66.33878330781374,65.53657234383343,94.6443455283832,Kathua,Kathua,JAMMU & KASHMIR,1,0.0017733955204029,0.1176449011470566,0.1162222638171158
1,7,31,Hiranagar,28282,137798,388.92,354.0,JAMMU & KASHMIR,Kathua,72.71932531111797,93.98104471763016,93.90778587087192,98.97151085056052,Hiranagar,Kathua,JAMMU & KASHMIR,1,0.0025712228735986,0.24164621186267138,0.24145784704019313
1,18,68,Kishtwar,24115,129489,780.3,166.0,JAMMU & KASHMIR,Kishtwar,30.904780212738693,88.52026040822001,88.76218121501141,99.919261822376,Kishtwar,Kishtwar,JAMMU & KASHMIR,1,0.0012815583749839,0.11344388108191723,0.11375391671794363
1,18,70,Chhatroo,9729,44087,308.52,143.0,JAMMU & KASHMIR,Kishtwar,31.53442240373396,100.0,100.0,100.0,Chhatroo,Kishtwar,JAMMU & KASHMIR,1,0.0032412809542331,0.32412809542331134,0.32412809542331134
1,19,72,Udhampur,50555,275559,808.71,341.0,JAMMU & KASHMIR,Udhampur,62.51313820776298,64.53354816935756,63.96597764810602,95.3852431650406,Udhampur,Udhampur,JAMMU & KASHMIR,2,0.0024730744024433,0.07979813303824307,0.07909631097439876
1,21,79,Jammu,195906,970335,1069.72,907.0,JAMMU & KASHMIR,Jammu,183.13764349549413,29.359963311639792,28.879156330076672,79.31514788916726,Jammu,Jammu,JAMMU & KASHMIR,25,0.0233706016527689,0.027446400283849783,0.026996930346330508
1,22,82,Samba,65385,318898,903.65,353.0,JAMMU & KASHMIR,Samba,72.35655397554363,83.1874141575049,83.68586067140782,95.71072871133735,Samba,Samba,JAMMU & KASHMIR,4,0.0044264925579593,0.0920571174210202,0.09260870986710322
2,24,94,Indora,16720,81226,298.12916541036685,272.0,HIMACHAL PRADESH,Kangra,56.083073848160296,94.41804348361362,93.99521531100478,96.87383822808104,Indora,Kangra,HIMACHAL PRADESH,3,0.0100627524847177,0.3167018005556407,0.31528352880746463
2,24,95,Fatehpur,13185,62041,305.9878131087973,203.0,HIMACHAL PRADESH,Kangra,43.08995141356146,100.0,100.0,100.0,Fatehpur,Kangra,HIMACHAL PRADESH,2,0.0065362080263271,0.3268104013163554,0.3268104013163554
2,24,99,Dharmsala,31328,136536,337.66703106822905,404.0,HIMACHAL PRADESH,Kangra,92.77778733947484,68.6588152575145,66.38789581205312,94.53011449131736,Dharmsala,Kangra,HIMACHAL PRADESH,52,0.1539978594756349,0.20333289584212116,0.19660757404130097
2,24,100,Kangra,21432,97568,180.62658348104588,540.0,HIMACHAL PRADESH,Kangra,118.65363108220986,90.23450311577568,89.501679731243,98.27267950272258,Kangra,Kangra,HIMACHAL PRADESH,9,0.0498265528060791,0.49956380382539023,0.49550668570684053
2,24,103,Dera Gopipur,27654,120783,610.6403696047614,198.0,HIMACHAL PRADESH,Kangra,45.286884681239016,96.01268390419182,95.83785347508498,99.464496590339,Dera Gopipur,Kangra,HIMACHAL PRADESH,1,0.0016376251059969,0.15723278165565155,0.156946474955654
2,24,104,Jawalamukhi,9740,43504,103.61999027528424,420.0,HIMACHAL PRADESH,Kangra,93.99730664058184,87.67699521883046,87.84394250513347,95.63790733043707,Jawalamukhi,Kangra,HIMACHAL PRADESH,1,0.009650647499033,0.8461397746313382,0.8477509240423687
2,24,106,Rakkar,6765,29503,114.48551355223222,258.0,HIMACHAL PRADESH,Kangra,59.09044550788144,100.0,100.0,100.0,Rakkar,Kangra,HIMACHAL PRADESH,2,0.017469459130194,0.8734729565097035,0.8734729565097035
2,24,109,Dhira,5298,22119,81.18564061997238,272.0,HIMACHAL PRADESH,Kangra,65.25784559365349,100.0,100.0,100.0,Dhira,Kangra,HIMACHAL PRADESH,2,0.0246348982988499,1.231744914942497,1.231744914942497
2,24,111,Palampur,44501,189276,429.2900974251571,441.0,HIMACHAL PRADESH,Kangra,103.6618367554084,98.12813034933112,98.1079076874677,99.84392838222485,Palampur,Kangra,HIMACHAL PRADESH,13,0.0302825527026428,0.22858232914734045,0.22853522193013534
2,24,112,Baijnath,22112,95229,296.03964170326145,322.0,HIMACHAL PRADESH,Kangra,74.69269950733221,100.0,100.0,100.0,Baijnath,Kangra,HIMACHAL PRADESH,4,0.0135117039629761,0.33779259907440395,0.33779259907440395
2,24,113,Multhan,1548,7612,978.9979171710116,8.0,HIMACHAL PRADESH,Kangra,1.581208675574327,100.0,100.0,100.0,Multhan,Kangra,HIMACHAL PRADESH,1,0.0010214526327999,0.10214526327999529,0.10214526327999529
2,26,117,Manali,12450,51661,751.7321605081908,69.0,HIMACHAL PRADESH,Kullu,16.561749854607086,84.32860378235031,81.71084337349399,99.60092169025044,Manali,Kullu,HIMACHAL PRADESH,23,0.0305960037474669,0.1121790555366714,0.10869675087235234
2,26,118,Kullu,44056,206716,2809.0409314870026,74.0,HIMACHAL PRADESH,Kullu,15.68364472947654,84.57739120339016,82.35881605229707,99.57636786753048,Kullu,Kullu,HIMACHAL PRADESH,14,0.0049839074408178,0.03010899209596708,0.029319194009999477
2,27,123,Padhar,10432,49357,409.4823241080118,121.0,HIMACHAL PRADESH,Mandi,25.47606913857479,100.0,100.0,100.0,Padhar,Mandi,HIMACHAL PRADESH,1,0.0024421078545412,0.2442107854541295,0.2442107854541295
