State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area
1,10,43,Srinagar (North),188079,1216358,298.07,4081.0,JAMMU & KASHMIR,Srinagar,630.9893649142819,0.8969398811862955,0.9091924138261049,3.8883483745428924
1,10,44,Srinagar (South),3599,20471,12.42,1648.0,JAMMU & KASHMIR,Srinagar,289.7745571658615,31.27839382541156,31.508752431230896,35.18518518518518
1,11,45,Lar,13620,90694,82.92,1094.0,JAMMU & KASHMIR,Ganderbal,164.2547033285094,88.45458354466668,88.63436123348018,88.49493487698986
1,11,46,Kangan,18326,120934,90.44,1337.0,JAMMU & KASHMIR,Ganderbal,202.63157894736844,100.0,100.0,100.0
1,11,47,Ganderbal,13415,85818,85.96,998.0,JAMMU & KASHMIR,Ganderbal,156.06095858538856,57.388892773077906,59.612374207976146,81.54955793392276
1,12,48,Pampore,12350,81564,112.41,726.0,JAMMU & KASHMIR,Pulwama,109.865670314029,61.34201363346574,61.68421052631579,73.35646294813628
1,12,49,Awantipora,12091,86507,116.92,740.0,JAMMU & KASHMIR,Pulwama,103.41258980499487,85.38037384257922,91.04292448928956,95.72357167293876
1,12,50,Tral,18659,110196,117.87,935.0,JAMMU & KASHMIR,Pulwama,158.3015186222109,83.80703473810301,87.3733854976151,99.49096462204122
1,12,51,Pulwama,43141,282173,288.68,977.0,JAMMU & KASHMIR,Pulwama,149.44228903976722,93.46500196687848,94.24445423147354,98.96078703062214
1,13,52,Shopian,44411,266215,311.73,854.0,JAMMU & KASHMIR,Shupiyan,142.46623680749366,93.85459121386849,94.25142419670803,98.2549000737818
1,14,53,Pahalgam,19277,119884,125.22,957.0,JAMMU & KASHMIR,Anantnag,153.94505670020763,86.83477361449401,89.74425481143331,82.41494968854816
1,14,54,Bijbehara,20450,146801,142.1,1033.0,JAMMU & KASHMIR,Anantnag,143.91273750879662,76.42795348805525,77.11491442542787,92.25193525686137
1,14,55,Anantnag,48726,364763,188.83,1932.0,JAMMU & KASHMIR,Anantnag,258.04162474183124,49.21825952741917,53.34934121413619,75.79304135995339
1,14,56,Shangus,12400,74103,59.09,1254.0,JAMMU & KASHMIR,Anantnag,209.8493822981892,89.37289988259585,90.25806451612904,96.6153325435776
1,14,57,Kokernag,27343,173712,126.01,1379.0,JAMMU & KASHMIR,Anantnag,216.99071502261725,96.22766417979184,96.70848114691147,97.61923656852632
1,14,58,Dooru,25444,199429,130.69,1526.0,JAMMU & KASHMIR,Anantnag,194.6897237738159,83.53348810854992,82.32982235497563,88.90504246690641
1,15,59,Kulgam,49700,285773,265.36,1077.0,JAMMU & KASHMIR,Kulgam,187.2927343985529,75.20829469544009,75.0261569416499,81.39508592101296
1,15,60, Devsar,4924,31893,20.37,1566.0,JAMMU & KASHMIR,Kulgam,241.72803141875306,69.38199604928982,71.68968318440292,97.88905252822778
