mcc,mnc,Operator,Circle
405,848,Vodafone Idea,Kolkata
405,849,Vodafone Idea,North East
405,850,Vodafone Idea,Orissa
405,851,Vodafone Idea,Punjab
405,852,Vodafone Idea,Tamil Nadu
405,853,Vodafone Idea,West Bengal
405,854,Jio,Andhra Pradesh
405,855,Jio,Assam
405,856,Jio,Bihar
405,857,Jio,Gujarat
405,858,Jio,Haryana
405,859,Jio,Himachal Pradesh
405,860,Jio,Jammu & Kashmir
405,861,Jio,Karnataka
405,862,Jio,Kerala
405,863,Jio,Madhya Pradesh
405,864,Jio,Maharashtra
405,865,Jio,North East
405,866,Jio,Orissa
405,867,Jio,Punjab
405,868,Jio,Rajasthan
405,869,Jio,Tamil Nadu (incl. Chennai)
405,870,Jio,Uttar Pradesh (West)
405,871,Jio,Uttar Pradesh (East)
405,872,Jio,Delhi
405,873,Jio,Kolkata
405,874,Jio,Mumbai
405,880,Uninor,West Bengal
405,908,Vodafone Idea,Andhra Pradesh and Telangana
405,909,Vodafone Idea,Delhi
405,910,Vodafone Idea,Haryana
405,911,Vodafone Idea,Maharashtra
405,927,Uninor,Gujarat
405,929,Uninor,Maharashtra
