State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,% Urban Population,% Urban Households,% Urban Area
2,33,193,Dodra Kwar,1215,6372,354.35489751954464,18.0,HIMACHAL PRADESH,Shimla,3.4287659307234097,100.0,100.0,100.0,0.0,0.0,0.0
2,34,194,Hangrang,1113,4659,553.0,8.0,HIMACHAL PRADESH,Kinnaur,2.0126582278481013,100.0,100.0,100.0,0.0,0.0,0.0
2,34,195,Poo,1987,8309,1290.0,6.0,HIMACHAL PRADESH,Kinnaur,1.5403100775193799,100.0,100.0,100.0,0.0,0.0,0.0
2,34,196,Morang,2371,10238,1660.0,6.0,HIMACHAL PRADESH,Kinnaur,1.4283132530120481,100.0,100.0,100.0,0.0,0.0,0.0
2,34,197,Kalpa,4759,19190,376.35,51.0,HIMACHAL PRADESH,Kinnaur,12.64514414773482,100.0,100.0,100.0,0.0,0.0,0.0
2,34,198,Nichar,6681,27683,1141.32,24.0,HIMACHAL PRADESH,Kinnaur,5.853748291452003,100.0,100.0,100.0,0.0,0.0,0.0
2,34,199,Sangla,3065,14042,1380.33,10.0,HIMACHAL PRADESH,Kinnaur,2.2204835075670313,100.0,100.0,100.0,0.0,0.0,0.0
3,35,200,Dhar Kalan,10825,54186,263.9137155312275,205.0,PUNJAB,Gurdaspur,41.01719373777349,90.02325323884398,90.29099307159353,95.28254908050552,9.976746761156017,9.709006928406467,4.717450919494503
3,35,201,Pathankot,123734,622412,687.3728619298134,905.0,PUNJAB,Gurdaspur,180.01001618337716,52.96363180658471,52.439911422891036,86.27964453888639,47.03636819341529,47.560088577108964,13.7203554611136
3,35,202,Gurdaspur,156505,821539,1352.6036033812893,607.0,PUNJAB,Gurdaspur,115.70647868212308,82.08313908408486,81.39292674355451,96.05501568481641,17.91686091591513,18.60707325644548,3.944984315183596
3,35,203,Batala,129555,675891,950.7673829118936,711.0,PUNJAB,Gurdaspur,136.26361434824872,69.88212596409777,68.85029524140327,94.40872699721902,30.117874035902236,31.149704758596737,5.591273002780983
3,35,204,Dera Baba Nanak,23047,124295,296.33792413973543,419.0,PUNJAB,Gurdaspur,77.77269840471853,91.63683173096263,91.36547056015968,97.4859782049067,8.36316826903737,8.634529439840327,2.5140217950933006
3,36,205,Bhulath,22689,104354,234.9931417477361,444.0,PUNJAB,Kapurthala,96.55175394163852,80.19817160817985,79.72145092335494,92.68914834185134,19.801828391820152,20.27854907664507,7.310851658148662
3,36,206,Kapurthala,69986,341631,656.5451771074815,520.0,PUNJAB,Kapurthala,106.59738650177114,64.09927670498287,62.56679907410053,94.390332716743,35.90072329501714,37.43320092589947,5.609667283256982
3,36,207,Sultanpur Lodhi,23231,121816,444.91925613051257,274.0,PUNJAB,Kapurthala,52.213968444614636,86.14549812832468,85.10610821746803,97.86478111048238,13.854501871675314,14.893891782531963,2.135218889517623
3,36,208,Phagwara,52083,247367,296.54457209527374,834.0,PUNJAB,Kapurthala,175.63295673227427,50.57020540330763,50.04128026419369,91.19188059472955,49.42979459669236,49.95871973580631,8.80811940527044
3,37,209,Shahkot,32743,166532,430.5914744697537,387.0,PUNJAB,Jalandhar,76.04191430014016,85.07794297792617,84.85783220841095,97.67761309897871,14.922057022073837,15.142167791589042,2.3223869010212916
3,37,210,Nakodar,42287,208157,445.4415607532573,467.0,PUNJAB,Jalandhar,94.93276722650486,82.23792618071936,81.5215077919928,97.19379575204836,17.762073819280637,18.47849220800719,2.806204247951642
3,37,211,Phillaur,80057,381732,744.6301141979544,513.0,PUNJAB,Jalandhar,107.51243936223273,81.54333406683223,81.28958117341394,93.568618957671,18.456665933167773,18.710418826586057,6.431381042328997
3,37,212,Jalandhar - I,245989,1145692,468.0523428136878,2448.0,PUNJAB,Jalandhar,525.5587409759382,14.988146901610556,15.200273182947205,69.01201281717879,85.01185309838945,84.79972681705279,30.987987182821215
3,37,213,Jalandhar - II,60559,291477,535.2947540604289,545.0,PUNJAB,Jalandhar,113.13206329902414,81.15837613259366,80.83852111164319,94.81033584034266,18.841623867406348,19.161478888356807,5.189664159657344
3,38,214,Dasua,77198,360505,842.3738591491693,428.0,PUNJAB,Hoshiarpur,91.64339462999601,84.4096475777035,84.63949843260188,95.44145398353345,15.5903524222965,15.360501567398119,4.558546016466549
3,38,215,Mukerian,70410,335063,628.9731632785159,533.0,PUNJAB,Hoshiarpur,111.94436282939104,81.75298376723184,81.72276665246414,93.8439344855077,18.247016232768164,18.277233347535862,6.15606551449229
3,38,216,Hoshiarpur,119141,560346,1118.9858312539009,501.0,PUNJAB,Hoshiarpur,106.47230436018505,66.21533838021509,65.34442383394466,95.38778789163332,33.78466161978492,34.65557616605535,4.612212108366683
3,38,217,Garhshankar,70245,330711,795.6684880828313,416.0,PUNJAB,Hoshiarpur,88.28425538034793,91.43814387788734,91.24919923126201,98.29577264864757,8.56185612211266,8.750800768737989,1.7042273513524349
3,39,218,Nawanshahr,89606,423546,774.6872659592757,547.0,PUNJAB,Shahid Bhagat Singh Nagar,115.66732013988012,77.28794511103871,76.98368412829498,93.92399977793433,22.712054888961294,23.01631587170502,6.076000222065662
3,39,219,Balachaur,39894,188764,507.3156709445866,372.0,PUNJAB,Shahid Bhagat Singh Nagar,78.63742889258701,84.52035345722702,84.68441369629518,96.00248895086564,15.479646542772988,15.315586303704817,3.9975110491343675
3,40,220,Bassi Pathana,18558,96163,225.3557605999468,427.0,PUNJAB,Fatehgarh Sahib,82.34979194938042,78.9024884830964,76.96950102381722,98.66877154947656,21.09751151690359,23.030498976182777,1.3312284505234468
3,40,221,Fatehgarh Sahib,39387,202334,483.5137576831145,418.0,PUNJAB,Fatehgarh Sahib,81.45993650466814,71.28658554667035,69.78952446238607,94.1263305234403,28.713414453329644,30.210475537613934,5.873669476559715
3,40,222,Amloh,42832,210628,270.84348228344345,778.0,PUNJAB,Fatehgarh Sahib,158.14299697703416,53.96528476745732,51.33311542771759,85.60053959165033,46.03471523254268,48.666884572282406,14.399460408349674
3,40,223,Khamanon,17323,91038,200.2778542139232,455.0,PUNJAB,Fatehgarh Sahib,86.49483522774689,88.86728618818516,87.96397852565953,96.37004299425203,11.132713811814847,12.036021474340473,3.6299570057479644
3,41,224,Samrala,43311,223385,491.5808544642893,454.0,PUNJAB,Ludhiana,88.10554684274489,80.03715558340981,79.42324120893076,97.45718331247417,19.96284441659019,20.576758791069246,2.5428166875258276
3,41,225,Khanna,44917,222297,212.39822945194064,1047.0,PUNJAB,Ludhiana,211.47539749225345,42.35774661826295,41.670191686889154,88.3473604917219,57.64225338173704,58.32980831311085,11.652639508278098
3,41,226,Payal,41643,213545,428.980421780508,498.0,PUNJAB,Ludhiana,97.07436024040055,80.84057224472593,80.0302571860817,94.98112293548539,19.159427755274063,19.969742813918305,5.018877064514622
3,41,227,Ludhiana (East),407387,1934225,634.0,3051.0,PUNJAB,Ludhiana,642.5662460567823,14.459951660225673,13.681339856205524,73.16246056782335,85.54004833977433,86.31866014379447,26.837539432176655
3,41,228,Ludhiana (West),72514,362602,543.0,668.0,PUNJAB,Ludhiana,133.54327808471456,75.14823415204549,74.86554320544998,91.67034990791898,24.851765847954507,25.13445679455002,8.329650092081032
3,41,229,Raikot,39995,201451,482.8949077797957,417.0,PUNJAB,Ludhiana,82.82340392423039,77.07978615147107,76.2745343167896,93.01297250055373,22.920213848528924,23.725465683210402,6.987027499446265
3,41,230,Jagraon,67059,341234,784.3389979789472,435.0,PUNJAB,Ludhiana,85.49747006434067,80.88115486733443,80.26215720484946,98.21505751517205,19.11884513266556,19.73784279515054,1.7849424848279418
3,42,231,Nihal Singhwala,32836,170609,421.0393169064392,405.0,PUNJAB,Moga,77.98796616254396,96.02248415968677,96.01352174442684,99.19247446414715,3.977515840313231,3.986478255573151,0.8075255358528732
3,42,232,Bagha Purana,42982,225649,586.4424755640786,385.0,PUNJAB,Moga,73.29278111831363,88.82955386463045,88.79763621981294,98.97688174884863,11.170446135369534,11.202363780187055,1.0231182511513697
3,42,233,Moga,117438,599488,1234.515015843214,486.0,PUNJAB,Moga,95.12885505065,67.42987349204654,66.08082562713943,96.7396103341434,32.570126507953454,33.919174372860574,3.2603896658565903
3,43,234,Zira,48132,258438,739.9692359652018,349.0,PUNJAB,Firozpur,65.04594739971525,73.55690726595934,72.83927532618632,94.66599446549746,26.443092734040658,27.16072467381368,5.334005534502536
3,43,235,Firozpur,108238,567191,1293.0604713666817,439.0,PUNJAB,Firozpur,83.70683536988754,64.74979327951255,63.250429608825,96.44254843306895,35.250206720487455,36.749570391175,3.557451566931047
3,43,236,Jalalabad,67584,356027,909.997920910698,391.0,PUNJAB,Firozpur,74.26830154992443,84.06946664157495,83.22975852272727,98.89999748680938,15.930533358425064,16.770241477272727,1.1000025131906126
3,43,237,Fazilka,78104,404152,1153.2339771629686,350.0,PUNJAB,Firozpur,67.72606560911514,79.64577683643778,79.22129468401107,98.26314517290974,20.354223163562224,20.778705315988937,1.7368548270902597
3,43,238,Abohar,83936,443266,1208.730891720783,367.0,PUNJAB,Firozpur,69.44142867111337,67.22013418579364,65.90974075486085,98.09138658091571,32.77986581420637,34.09025924513915,1.908613419084285
3,44,239,Malout,66991,348165,1054.6323085184442,330.0,PUNJAB,Muktsar,63.52071661270219,76.6185572932374,75.98931199713394,98.76734290283004,23.3814427067626,24.010688002866058,1.2326570971699609
3,44,240,Gidderbaha,42588,222937,653.7998182972624,341.0,PUNJAB,Muktsar,65.13920439885555,79.64895912298093,79.12087912087912,98.17681197418439,20.35104087701907,20.87912087912088,1.8231880258156248
3,44,241,Muktsar,64781,330794,884.5787992811106,374.0,PUNJAB,Muktsar,73.2337244038032,62.08667630005381,61.00862907333941,95.72677979274208,37.91332369994619,38.99137092666059,4.273220207257931
3,45,242,Faridkot,89912,456578,1053.4788569012403,433.0,PUNJAB,Faridkot,85.34770243464783,60.64768779923693,58.92094492392561,96.6406539848272,39.352312200763066,41.07905507607438,3.359346015172821
3,45,243,Jaitu,30981,160930,404.51763899194816,398.0,PUNJAB,Faridkot,76.58751316062306,76.77437395140745,76.66311610341823,97.62680311693624,23.225626048592556,23.336883896581774,2.3731968830637533
3,46,244,Rampura Phul,60639,316669,881.926443944245,359.0,PUNJAB,Bathinda,68.75743483640635,79.31909975400181,78.88982338099242,96.54052781731434,20.68090024599819,21.11017661900757,3.4594721826856607
3,46,245,Bathinda,151247,755926,1511.9819566419774,500.0,PUNJAB,Bathinda,100.03227838506132,52.54350293547252,50.2257896024384,93.81540238696498,47.45649706452748,49.7742103975616,6.1845976130350255
3,46,246,Talwandi Sabo,62016,315930,959.0864597817036,329.0,PUNJAB,Bathinda,64.66153219816634,76.26341278131231,76.57539989680082,96.34339535895624,23.736587218687685,23.424600103199175,3.656604641043753
3,47,247,Sardulgarh,33635,174234,590.3025711687894,295.0,PUNJAB,Mansa,56.97925376371519,88.96943191340382,88.92522669837966,98.64476280627406,11.030568086596187,11.074773301620336,1.3552371937259449
3,47,248,Budhlada,49290,254706,712.9864025006201,357.0,PUNJAB,Mansa,69.13175318228755,82.88065455858911,82.70440251572327,98.59744870800796,17.119345441410882,17.29559748427673,1.402551291992038
3,47,249,Mansa,66705,340811,894.713888881179,381.0,PUNJAB,Mansa,74.55455965192762,70.42906478957546,69.79536766359344,96.57208853230699,29.570935210424548,30.20463233640657,3.4279114676930074
3,48,250,Samana,34200,173970,420.02164408411016,414.0,PUNJAB,Patiala,81.4243753427892,68.9187790998448,68.26608187134504,98.6905436713879,31.0812209001552,31.73391812865497,1.309456328612107
3,48,251,Patran,36526,193683,405.4444957646037,478.0,PUNJAB,Patiala,90.08878004649634,80.31577371271614,79.70212998959644,97.7802140381688,19.68422628728386,20.29787001040355,2.2197859618312084
3,48,252,Nabha,54224,277236,628.409314707291,441.0,PUNJAB,Patiala,86.28770887213408,69.17788454601855,68.41988787252878,95.09396196420792,30.822115453981446,31.58011212747123,4.906038035792072
3,48,253,Patiala,171644,859786,1147.7449350295806,749.0,PUNJAB,Patiala,149.5489065221414,44.409888041908104,41.65074223392603,93.27812324451584,55.590111958091896,58.34925776607397,6.721876755484148
3,48,254,Rajpura,75699,391011,723.3844823450178,541.0,PUNJAB,Patiala,104.64559559614027,72.46190004884772,70.28758636177493,95.47819993401531,27.53809995115227,29.712413638225076,4.521800065984687
3,49,255,Ajnala,81132,442711,1097.7762946703344,403.0,PUNJAB,Amritsar,73.90576786353743,89.3341254226798,88.52857072425184,98.09341847682315,10.665874577320194,11.471429275748163,1.9065815231768455
3,49,256,Amritsar -I,58952,312240,490.54283749366135,637.0,PUNJAB,Amritsar,120.17706812559823,81.51806302843966,80.90141131768218,95.18492612782157,18.48193697156034,19.098588682317818,4.815073872178434
3,49,257,Amritsar- II,286786,1415214,561.7303600198185,2519.0,PUNJAB,Amritsar,510.5403239908234,15.866787637770683,14.369948323837287,73.60655386424739,84.13321236222932,85.63005167616271,26.39344613575261
3,49,258,Baba Bakala,62028,320491,532.9646225595795,601.0,PUNJAB,Amritsar,116.38295934561015,87.82524314255315,87.48307216095957,94.71634723806605,12.174756857446855,12.516927839040434,5.2836527619339355
3,50,259,Tarn Taran,89613,493625,950.880988005836,519.0,PUNJAB,Tarn Taran,94.24207774722066,86.45793871866296,85.63378081305167,98.68542960079424,13.542061281337048,14.366219186948323,1.3145703992057607
3,50,260,Patti,79066,438190,1093.11158000946,401.0,PUNJAB,Tarn Taran,72.33113384391714,82.89600401652251,82.44757544330054,98.00294861025887,17.10399598347749,17.552424556699467,1.9970513897411164
3,50,261,Khadur Sahib,34742,187812,370.00389350827766,508.0,PUNJAB,Tarn Taran,93.89630922687239,100.0,100.0,100.0,0.0,0.0,0.0
3,51,262,Anandpur Sahib,37331,194445,400.2683174797267,486.0,PUNJAB,Rupnagar,93.26493846690923,91.62642392450307,91.24052396131901,97.75150827408271,8.373576075496928,8.759476038680988,2.248491725917289
3,51,263,Nangal,27754,133585,242.70138217232773,550.0,PUNJAB,Rupnagar,114.35451974597139,63.69577422614815,61.31008142970382,92.56699741940866,36.304225773851854,38.68991857029617,7.433002580591353
