State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,% Urban Population,% Urban Households,% Urban Area
8,122,628,Hurda,27366,138643,610.6701298459318,227.0,RAJASTHAN,Bhilwara,44.813064635901334,80.37044784085745,80.01169334210334,98.03494564192495,19.629552159142545,19.988306657896658,1.965054358075042
8,122,629,Shahpura,41705,207020,1128.420535155592,183.0,RAJASTHAN,Bhilwara,36.95873896361653,85.35407207033137,86.40211005874595,97.49295593986163,14.64592792966863,13.597889941254046,2.507044060138381
8,122,630,Banera,24970,123714,660.7843715516484,187.0,RAJASTHAN,Bhilwara,37.7884239927855,100.0,100.0,100.0,0.0,0.0,0.0
8,122,631,Mandal,49211,235640,1218.8210704625528,193.0,RAJASTHAN,Bhilwara,40.37590192079959,100.0,100.0,100.0,0.0,0.0,0.0
8,122,632,Raipur,19936,97869,508.4408088984616,192.0,RAJASTHAN,Bhilwara,39.210070574766405,100.0,100.0,100.0,0.0,0.0,0.0
8,122,633,Sahara,27855,135086,659.3433538443471,205.0,RAJASTHAN,Bhilwara,42.24657735243632,86.09996594761856,87.03643870041286,97.72500929712244,13.900034052381447,12.963561299587148,2.2749907028775613
8,122,634,Bhilwara,115152,557761,969.0481235416116,576.0,RAJASTHAN,Bhilwara,118.8300118462128,33.45518958837208,33.401069890232044,85.82216954325484,66.54481041162792,66.59893010976796,14.17783045674515
8,122,635,Kotri,35908,174701,932.203685183706,187.0,RAJASTHAN,Bhilwara,38.519478704832345,100.0,100.0,100.0,0.0,0.0,0.0
8,122,636,Jahazpur,46557,217773,1076.564631760475,202.0,RAJASTHAN,Bhilwara,43.24589404712904,90.54703751153724,91.70049616599007,99.53555970050552,9.452962488462758,8.299503834009924,0.46444029949448035
8,122,637,Mandalgarh,37825,176703,929.3527508706997,190.0,RAJASTHAN,Bhilwara,40.700369116637575,92.16538485481288,92.55254461335096,90.96145140569053,7.834615145187122,7.447455386649042,9.038548594309468
8,122,638,Beejoliya,18739,89483,630.2534568178182,142.0,RAJASTHAN,Bhilwara,29.732482697697787,84.19811584323278,84.36416030738033,99.28600153615646,15.801884156767207,15.63583969261967,0.713998463843535
8,123,639,Bhim,35808,171023,672.4039889077538,254.0,RAJASTHAN,Rajsamand,53.253699547746805,93.23599749741263,93.56847631814121,99.4051195314148,6.764002502587371,6.431523681858803,0.5948804685851966
8,123,640,Deogarh,23338,110723,597.8085996384259,185.0,RAJASTHAN,Rajsamand,39.03925104810399,84.1008643190665,84.98585997086296,95.9853371104872,15.899135680933501,15.01414002913703,4.0146628895127945
8,123,641,Amet,24568,118949,530.8138898363443,224.0,RAJASTHAN,Rajsamand,46.283641913693295,79.87793087793929,79.64018235102573,93.97152173055117,20.122069122060715,20.35981764897428,6.028478269448817
8,123,642,Kumbhalgarh,32648,144231,884.1566187971677,163.0,RAJASTHAN,Rajsamand,36.9255845694118,100.0,100.0,100.0,0.0,0.0,0.0
8,123,643,Rajsamand,47280,235140,619.2096874918687,380.0,RAJASTHAN,Rajsamand,76.35539455383741,64.16262652037085,64.02072758037225,87.79573357353321,35.83737347962916,35.97927241962775,12.204266426466779
8,123,644,Railmagra,27874,131800,564.9176263179908,233.0,RAJASTHAN,Rajsamand,49.34170700545604,100.0,100.0,100.0,0.0,0.0,0.0
8,123,645,Nathdwara,51562,244731,785.6927959326224,311.0,RAJASTHAN,Rajsamand,65.62615855322382,81.02202009553346,81.80830844420309,96.10662078634824,18.977979904466537,18.191691555796904,3.893379213651752
8,124,646,Dungarpur,98876,495423,1318.5610431232017,376.0,RAJASTHAN,Dungarpur,74.98780622685314,90.37065295716994,89.53537764472674,98.9958750814722,9.629347042830066,10.464622355273272,1.004124918527788
8,124,647,Aspur,46330,224243,710.2688809827113,316.0,RAJASTHAN,Dungarpur,65.22881860725603,100.0,100.0,100.0,0.0,0.0,0.0
8,124,648,Sagwara,71166,343232,877.7237546920827,391.0,RAJASTHAN,Dungarpur,81.08017997640498,90.05162688793585,89.89686086052329,99.08285494644907,9.948373112064143,10.103139139476717,0.9171450535509375
8,124,649,Simalwara,65657,325654,863.4408085743233,377.0,RAJASTHAN,Dungarpur,76.0411128915832,97.88395045047812,97.84181427722862,99.37343707336086,2.116049549521885,2.1581857227713725,0.6265629266391476
8,125,650,Ghatol,62132,287101,771.042540085514,372.0,RAJASTHAN,Banswara,80.58180550337615,100.0,100.0,100.0,0.0,0.0,0.0
8,125,651,Garhi,61155,298740,728.4389235566942,410.0,RAJASTHAN,Banswara,83.95350388664441,94.66492602262836,94.55809009892894,98.71506042616468,5.335073977371628,5.441909901071049,1.2849395738353226
8,125,652,Banswara,94686,458587,1134.868398606943,404.0,RAJASTHAN,Banswara,83.43346251973142,77.9721187037574,76.7769258390892,98.46766373780903,22.027881296242587,23.2230741609108,1.532336262190957
8,125,653,Bagidora,74897,373825,863.0722295964014,433.0,RAJASTHAN,Banswara,86.77952717239448,100.0,100.0,100.0,0.0,0.0,0.0
8,125,654,Kushalgarh,74927,379232,1024.586014061905,370.0,RAJASTHAN,Banswara,73.12904819279814,97.18747363091722,97.0584702443712,99.90239960469151,2.8125263690827778,2.941529755628812,0.09760039530849779
8,126,655,Rashmi,18434,88670,446.9462764231948,198.0,RAJASTHAN,Chittaurgarh,41.2443306330303,100.0,100.0,100.0,0.0,0.0,0.0
8,126,656,Gangrar,22575,103933,554.3459493813348,187.0,RAJASTHAN,Chittaurgarh,40.723667278879404,100.0,100.0,100.0,0.0,0.0,0.0
8,126,657,Begun,28437,135340,912.0893923244466,148.0,RAJASTHAN,Chittaurgarh,31.177865063783624,84.70149253731343,86.11667897457538,98.57141195702394,15.298507462686567,13.883321025424621,1.4285880429760545
8,126,658,Rawatbhata,29957,140128,1642.6350173120336,85.0,RAJASTHAN,Chittaurgarh,18.23716144138999,73.09674012331583,71.96982341355942,98.68930104538796,26.903259876684178,28.030176586440565,1.3106989546120325
8,126,659,Chittaurgarh,66891,312334,983.0021754241944,318.0,RAJASTHAN,Chittaurgarh,68.0476622252993,58.91289452957411,59.218728976992416,95.48831110359835,41.08710547042589,40.781271023007584,4.511688896401645
8,126,660,Kapasan,43083,199340,914.0986051068844,218.0,RAJASTHAN,Chittaurgarh,47.13167677896452,89.53095214206883,90.60186152310656,97.07361986436112,10.469047857931173,9.398138476893438,2.926380135638885
8,126,661,Dungla,22395,104607,496.4619790666728,211.0,RAJASTHAN,Chittaurgarh,45.109194549201206,100.0,100.0,100.0,0.0,0.0,0.0
8,126,662,Bhadesar,26309,123930,532.7520903535891,233.0,RAJASTHAN,Chittaurgarh,49.383194315649966,100.0,100.0,100.0,0.0,0.0,0.0
8,126,663,Nimbahera,45835,219790,831.1098317786708,264.0,RAJASTHAN,Chittaurgarh,55.14914906241431,71.81445925656308,72.12610450529071,96.24598352624125,28.185540743436917,27.873895494709284,3.7540164737587576
8,126,664,Bari Sadri,25203,116266,508.5586828289783,229.0,RAJASTHAN,Chittaurgarh,49.5577026820235,86.48530094782654,86.7555449748046,97.44375616051143,13.514699052173466,13.244455025195414,2.5562438394885754
8,127,665,Pipalda,35968,179800,930.5105498609106,193.0,RAJASTHAN,Kota,38.654048581583915,100.0,100.0,100.0,0.0,0.0,0.0
8,127,666,Digod,33029,168734,938.2199307988518,180.0,RAJASTHAN,Kota,35.203899337202635,100.0,100.0,100.0,0.0,0.0,0.0
8,127,667,Ladpura,236889,1143792,1497.4219564260302,764.0,RAJASTHAN,Kota,158.19789404276835,10.302397638731517,9.363457146596085,63.653531480264135,89.69760236126848,90.63654285340391,36.34646851973587
8,127,668,Ramganj Mandi,55463,272448,782.3155619279828,348.0,RAJASTHAN,Kota,70.89594365643684,52.72345548508339,52.4728197176496,91.38966380344088,47.27654451491661,47.52718028235039,8.610336196559123
8,127,669,Sangod,35152,186240,1068.532993651659,174.0,RAJASTHAN,Kota,32.89743995631784,88.26997422680412,88.38757396449705,98.60650068004784,11.730025773195877,11.612426035502958,1.3934993199521297
8,128,670,Mangrol,20516,106963,440.3092103543262,243.0,RAJASTHAN,Baran,46.59452838492826,76.55918401690303,77.42249951257556,93.76574476425093,23.440815983096957,22.577500487424448,6.234255235749077
8,128,671,Antah,23218,120038,543.4536972400691,221.0,RAJASTHAN,Baran,42.72305095707816,73.0277078925007,72.81419588250495,95.67948472533296,26.97229210749929,27.18580411749505,4.320515274667048
8,128,672,Baran,41400,213555,626.865923978348,341.0,RAJASTHAN,Baran,66.04283055818163,44.74865959588865,43.77536231884058,88.45686178939609,55.251340404111346,56.224637681159415,11.543138210603919
8,128,673,Atru,29129,149959,833.6957925983673,180.0,RAJASTHAN,Baran,34.939602980619675,81.56162684467088,80.9948848226853,98.80052171442138,18.438373155329124,19.005115177314703,1.199478285578622
8,128,674,Kishanganj,33345,166864,1425.892437150517,117.0,RAJASTHAN,Baran,23.385354414696362,100.0,100.0,100.0,0.0,0.0,0.0
8,128,675,Shahbad,28480,142061,1471.369211723376,97.0,RAJASTHAN,Baran,19.356120661680915,100.0,100.0,100.0,0.0,0.0,0.0
8,128,676,Chhabra,29790,152429,800.0458919251747,191.0,RAJASTHAN,Baran,37.235363996827004,78.81964717999855,78.76468613628734,98.87506453181791,21.180352820001445,21.235313863712655,1.1249354681820847
8,128,677,Chhipabarod,35550,170886,850.3699164868149,201.0,RAJASTHAN,Baran,41.80533590236809,88.97686176749411,89.25738396624473,99.64721235525428,11.023138232505882,10.742616033755274,0.35278764474572233
8,129,678,Khanpur,32687,173193,919.087615052366,188.0,RAJASTHAN,Jhalawar,35.56461806760134,92.00429578562644,91.69700492550555,99.78239288972618,7.99570421437356,8.302995074494447,0.21760711027381732
8,129,679,Jhalrapatan,73231,356707,1266.9511276819553,282.0,RAJASTHAN,Jhalawar,57.800966746037965,67.97455614832342,68.62940557960427,96.9912020150497,32.02544385167659,31.370594420395737,3.0087979849503177
8,129,680,Aklera,37091,178571,780.3033245821287,229.0,RAJASTHAN,Jhalawar,47.53407916064324,85.30556473335535,86.17184761802055,99.3592235426297,14.69443526664464,13.828152381979455,0.6407764573702952
8,129,681,Manohar Thana,30016,143075,624.2793831824757,229.0,RAJASTHAN,Jhalawar,48.081036805962206,92.10763585532064,92.06423240938166,98.00730244580834,7.892364144679364,7.935767590618337,1.992697554191664
8,129,682,Pachpahar,34502,179418,688.0252877137887,261.0,RAJASTHAN,Jhalawar,50.146412662600376,76.4332452708201,75.85647208857458,94.1862601979479,23.5667547291799,24.143527911425426,5.8137398020520985
8,129,683,Pirawa,41824,212679,1028.5338960119527,207.0,RAJASTHAN,Jhalawar,40.6637060403831,93.97824891032965,94.53423871461362,99.12496807009505,6.0217510896703486,5.465761285386381,0.8750319299049538
8,129,684,Gangdhar,33944,167486,911.834720489754,184.0,RAJASTHAN,Jhalawar,37.22604462985178,94.87479550529596,94.75901484798491,99.63480223716293,5.125204494704035,5.240985152015084,0.3651977628370446
8,130,685,Mavli,51890,253344,841.815776862703,301.0,RAJASTHAN,Udaipur,61.64056486727388,87.36461096374889,87.71054153015996,96.79145951615905,12.635389036251105,12.289458469840046,3.208540483840947
8,130,686,Gogunda,44340,214948,1012.5036458696628,212.0,RAJASTHAN,Udaipur,43.79243490221247,95.92878277536893,95.80063148398737,99.2464224666128,4.071217224631074,4.19936851601263,0.7535775333871926
8,130,687,Kotra,41790,230532,1737.8017676595164,133.0,RAJASTHAN,Udaipur,24.047621988716852,100.0,100.0,100.0,0.0,0.0,0.0
8,130,688,Jhadol,51655,249297,1429.5840071356297,174.0,RAJASTHAN,Udaipur,36.132888827917135,100.0,100.0,100.0,0.0,0.0,0.0
8,130,689,Girwa,186254,898133,1865.9429909044625,481.0,RAJASTHAN,Udaipur,99.81762621253434,45.66294746991815,44.859170809754424,95.2704878750222,54.337052530081856,55.140829190245576,4.729512124977802
8,130,690,Vallabhnagar,56959,271679,1071.4569633283195,254.0,RAJASTHAN,Udaipur,53.16032463223297,88.54640954950511,88.79018241191032,99.07695779312704,11.453590450494886,11.209817588089678,0.9230422068729861
8,130,691,Lasadiya,18864,91229,547.7802315928207,167.0,RAJASTHAN,Udaipur,34.437168251121015,100.0,100.0,100.0,0.0,0.0,0.0
8,130,692,Salumbar,50813,248337,982.5726967400772,253.0,RAJASTHAN,Udaipur,51.714239738784144,93.38600369658971,93.32847893255662,99.59290543964117,6.6139963034102855,6.671521067443371,0.40709456035883845
8,130,693,Sarada,47845,231209,926.5226604600751,250.0,RAJASTHAN,Udaipur,51.63931983729576,93.36055257364549,92.93970111819418,96.36598202754364,6.63944742635451,7.0602988818058305,3.634017972456366
8,130,694,Rishabhdeo,32771,172935,670.5117438645897,258.0,RAJASTHAN,Udaipur,48.87461002714089,94.6968514181629,94.13810991425345,98.78749327295274,5.303148581837106,5.861890085746544,1.2125067270472536
8,130,695,Kherwara,40350,206777,637.5104182367145,324.0,RAJASTHAN,Udaipur,63.293083290471984,96.33373150785629,96.17596034696406,99.68157383127718,3.6662684921437103,3.8240396530359355,0.3184261687228206
8,131,696,Dhariawad,38775,189872,922.8513302836432,206.0,RAJASTHAN,Pratapgarh,42.01651850908889,94.0128086289711,93.8052869116699,99.01175848148836,5.987191371028904,6.19471308833011,0.9882415185116459
8,131,697,Peepalkhoont,32509,154063,836.1265938774195,184.0,RAJASTHAN,Pratapgarh,38.88047604040924,100.0,100.0,100.0,0.0,0.0,0.0
8,131,698,Chhoti Sadri,27792,134077,720.7636854419756,186.0,RAJASTHAN,Pratapgarh,38.55910135505484,86.30637618681803,86.45293609671847,99.02880789620976,13.693623813181976,13.54706390328152,0.9711921037902413
8,131,699,Pratapgarh,51430,248813,1318.083034142837,189.0,RAJASTHAN,Pratapgarh,39.01878612180564,83.08810230976678,82.98852809644175,99.04710100390847,16.91189769023323,17.011471903558235,0.9528989960915397
8,131,700,Arnod,28220,141023,651.1678375653797,217.0,RAJASTHAN,Pratapgarh,43.33752125336903,100.0,100.0,100.0,0.0,0.0,0.0
9,132,701,Behat,91107,519420,1019.9456015478672,509.0,UTTAR PRADESH,Saharanpur,89.32535211852104,93.31023064186978,93.73922969694975,99.4117333325528,6.689769358130222,6.26077030305026,0.5882666674472063
9,132,702,Saharanpur,242107,1369818,786.6921417507551,1741.0,UTTAR PRADESH,Saharanpur,307.7531694433855,46.606337484249735,44.525354492022124,92.36423032441682,53.393662515750265,55.47464550797788,7.6357696755831785
9,132,703,Nakur,115911,698990,860.1029996464777,813.0,UTTAR PRADESH,Saharanpur,134.76409226295237,78.95749581539077,79.30826237371777,97.07593160233866,21.04250418460922,20.691737626282233,2.9240683976613537
9,132,704,Deoband,85819,514338,551.8059689618004,932.0,UTTAR PRADESH,Saharanpur,155.52387039499558,80.01955912260031,80.56607511157203,98.34905736573671,19.980440877399687,19.43392488842797,1.650942634263286
9,132,705,Rampur Maniharan,62712,363816,470.4560441432434,773.0,UTTAR PRADESH,Saharanpur,133.30044492085554,86.11111111111111,85.99311136624569,98.72464174396426,13.88888888888889,14.006888633754306,1.2753582560357402
9,133,706,Kairana,94032,586254,655.2445942971774,895.0,UTTAR PRADESH,Muzaffarnagar,143.50671614599088,71.06032538797177,71.67879019908116,96.69589033035489,28.93967461202823,28.321209800918833,3.3041096696451238
9,133,707,Shamli,113304,687324,610.4628041217827,1126.0,UTTAR PRADESH,Muzaffarnagar,185.6034458364751,68.50946569594544,67.7319423850879,93.3394795349581,31.490534304054563,32.268057614912095,6.660520465041903
9,133,708,Muzaffarnagar,234160,1406843,1044.9256386973557,1346.0,UTTAR PRADESH,Muzaffarnagar,224.0925012538814,61.243934113472505,59.49564400409976,95.82266925190812,38.756065886527495,40.50435599590024,4.177330748091871
9,133,709,Budhana,82129,532496,520.8889030081045,1022.0,UTTAR PRADESH,Muzaffarnagar,157.67085750091732,83.29245665695142,83.44068477638837,97.61177480876253,16.707543343048588,16.559315223611634,2.3882251912374577
9,133,710,Khatauli,72243,433910,437.56938420516366,992.0,UTTAR PRADESH,Muzaffarnagar,165.100673419435,76.00700606116476,74.69789460570574,98.28370076356194,23.99299393883524,25.302105394294255,1.7162992364380725
9,133,711,Jansath,80774,496685,738.9046982754555,672.0,UTTAR PRADESH,Muzaffarnagar,109.31585654891633,86.53110120096238,86.41023101493055,98.03763597202159,13.468898799037621,13.589768985069453,1.9623640279784174
9,134,712,Najibabad,124255,721574,891.4476076234425,809.0,UTTAR PRADESH,Bijnor,139.38564525542674,72.23749747080687,72.82845760733974,98.26013330818746,27.76250252919312,27.171542392660253,1.7398666918125374
9,134,713,Bijnor,111966,628536,830.6306418288672,757.0,UTTAR PRADESH,Bijnor,134.79637562307516,71.8585729377474,71.10015540431917,97.69452280765421,28.1414270622526,28.89984459568083,2.305477192345792
9,134,714,Nagina,83525,502488,692.3573354867162,726.0,UTTAR PRADESH,Bijnor,120.63857161458866,74.14405916161182,76.83687518706974,98.08913702189642,25.85594083838818,23.16312481293026,1.9108629781035713
9,134,715,Dhampur,192787,1123962,1350.1693269497082,832.0,UTTAR PRADESH,Bijnor,142.78727575269605,74.44406483493215,75.33339903624207,97.34255553849235,25.555935165067854,24.66660096375793,2.65744446150764
9,134,716,Chandpur,120664,706153,796.3917319626568,887.0,UTTAR PRADESH,Bijnor,151.5133760902204,81.45670980651502,82.4479546509315,96.7415533137131,18.54329019348498,17.552045349068486,3.258446686286895
9,135,717,Thakurdwara,82227,502000,541.123598441121,928.0,UTTAR PRADESH,Moradabad,151.95604153446843,91.18426294820718,91.69859048730952,98.15568937877583,8.815737051792828,8.301409512690478,1.8443106212241662
9,135,718,Kanth,50803,304082,395.3666717983386,769.0,UTTAR PRADESH,Moradabad,128.49590930090503,82.20315572773134,82.40064563116351,99.5169041458876,17.796844272268665,17.599354368836487,0.48309585411241185
9,135,719,Moradabad,281745,1646613,754.7780862358471,2182.0,UTTAR PRADESH,Moradabad,373.28190250605996,40.9722867486167,38.09721556726827,88.1647332336452,59.0277132513833,61.90278443273173,11.835266766354803
9,135,720,Bilari,109896,673812,542.1419610304212,1243.0,UTTAR PRADESH,Moradabad,202.7070544237645,87.20785619727758,86.7083424328456,98.34729634596624,12.792143802722421,13.291657567154399,1.6527036540337503
9,135,721,Sambhal,161176,993393,867.5037669128191,1145.0,UTTAR PRADESH,Moradabad,185.7928531810025,75.10230090205991,75.81091477639352,97.80404411754971,24.89769909794009,24.189085223606494,2.195955882450301
9,135,722,Chandausi,110323,652106,617.0873979241538,1057.0,UTTAR PRADESH,Moradabad,178.78018635791327,73.96650237844767,73.13524831630757,96.90481444536847,26.033497621552325,26.86475168369243,3.0951855546315308
9,136,723,Suar,56180,343409,407.7552406379789,842.0,UTTAR PRADESH,Rampur,137.77873194738117,85.47067782148983,85.66749733001068,98.70020064200583,14.529322178510174,14.332502669989319,1.299799357994162
9,136,724,Tanda,55267,340587,312.5882460406376,1090.0,UTTAR PRADESH,Rampur,176.8044726570272,85.88936160217507,85.55195686395136,97.09841936960711,14.110638397824932,14.448043136048636,2.901580630392887
9,136,725,Bilaspur,50019,289195,486.53764411163553,594.0,UTTAR PRADESH,Rampur,102.80602252540852,74.89375680769031,75.42533837141886,93.01184596680483,25.106243192309684,24.57466162858114,6.9881540331951655
9,136,726,Rampur,115488,670879,328.7765526552744,2041.0,UTTAR PRADESH,Rampur,351.2659253444097,47.940239596111965,45.387399556663894,91.6751970969482,52.059760403888035,54.6126004433361,8.324802903051827
9,136,727,Shahabad,59601,355070,430.296966887588,825.0,UTTAR PRADESH,Rampur,138.5113179651353,89.22015377249556,89.13608832066576,96.51403538618978,10.779846227504436,10.86391167933424,3.4859646138102205
9,136,728,Milak,57181,336679,401.04024427581305,840.0,UTTAR PRADESH,Rampur,142.58170050553358,90.92518392890557,90.65074063062906,97.25214609823021,9.074816071094425,9.349259369370944,2.7478539017697834
9,137,729,Dhanaura,81454,468098,711.5892013882307,658.0,UTTAR PRADESH,Jyotiba Phule Nagar,114.46772919135421,75.18553807108768,73.93375402067424,96.0131491674335,24.81446192891232,26.066245979325753,3.986850832566503
9,137,730,Amroha,131935,776206,633.9909764978794,1224.0,UTTAR PRADESH,Jyotiba Phule Nagar,208.1023309334771,66.91264947707181,66.91476863607079,96.7034231125102,33.08735052292819,33.08523136392921,3.296576887489803
9,137,731,Hasanpur,101012,595917,903.4204295630076,660.0,UTTAR PRADESH,Jyotiba Phule Nagar,111.81062182627461,85.61360055175469,86.04027244287808,98.86874375810348,14.38639944824531,13.959727557121926,1.1312562418965337
9,138,732,Sardhana,91687,569091,585.318286828153,972.0,UTTAR PRADESH,Meerut,156.64468728092024,80.36957182594699,80.52068450271031,94.53288907588923,19.63042817405301,19.479315497289694,5.467110924110777
9,138,733,Mawana,126121,772441,1044.234301779646,740.0,UTTAR PRADESH,Meerut,120.77844961141106,75.74973363661431,75.75344312208118,96.97768978224394,24.250266363385684,24.246556877918824,3.02231021775607
9,138,734,Meerut,361302,2102157,929.4416488152798,2262.0,UTTAR PRADESH,Meerut,388.73015908049365,30.54048769906339,28.3173079584392,79.0616226152485,69.45951230093661,71.6826920415608,20.9383773847515
9,139,735,Baraut,115230,713106,731.014168581249,976.0,UTTAR PRADESH,Baghpat,157.6303236688807,78.82614926813125,78.03002690271632,95.23128257997294,21.173850731868754,21.96997309728369,4.76871742002706
9,139,736,Baghpat,64795,404950,436.80530882368464,927.0,UTTAR PRADESH,Baghpat,148.33839857508312,81.39103593036178,81.4831391311058,98.57602463286207,18.608964069638226,18.516860868894206,1.4239753671379225
9,139,737,Khekada,29891,184992,153.17861202521456,1208.0,UTTAR PRADESH,Baghpat,195.1382089496912,73.68751081127833,72.87477836137968,94.77733875883199,26.312489188721678,27.125221638620324,5.22266124116801
9,140,738,Modinagar,108624,637485,263.31486984654885,2421.0,UTTAR PRADESH,Ghaziabad,412.52512652742496,46.46007357035852,44.7718736190897,72.95253396000588,53.53992642964148,55.22812638091029,27.047466039994113
9,140,739,Ghaziabad,519804,2705849,457.0,5921.0,UTTAR PRADESH,Ghaziabad,1137.4266958424507,10.878581916433621,9.083808512439303,40.647702407002186,89.12141808356637,90.9161914875607,59.352297592997814
9,140,740,Hapur,157560,953480,377.70875776137007,2524.0,UTTAR PRADESH,Ghaziabad,417.14680097394967,63.06466837269791,61.81518151815182,93.5135208023218,36.93533162730209,38.18481848184819,6.486479197678197
9,140,741,Garhmukteshwar,64688,384831,271.50987651201183,1417.0,UTTAR PRADESH,Ghaziabad,238.25284306789536,85.03862734551011,84.71895869403909,87.42955488822152,14.961372654489894,15.28104130596092,12.570445111778488
9,141,742,Dadri,234537,1110093,578.9706034863008,1917.0,UTTAR PRADESH,Gautam Buddha Nagar,405.0931059154361,29.456901358714994,22.948617915296946,80.05943664413842,70.54309864128501,77.05138208470305,19.940563355861592
9,141,743,Gautam Buddha Nagar,55578,316790,333.0740153337743,951.0,UTTAR PRADESH,Gautam Buddha Nagar,166.8638123700678,58.17860412260488,53.78567058908202,89.75302832741298,41.82139587739512,46.21432941091798,10.246971672587021
9,141,744,Jewar,36975,221232,369.9603783400336,598.0,UTTAR PRADESH,Gautam Buddha Nagar,99.94313489974857,73.45365950676214,76.26774847870182,89.57455926143798,26.546340493237867,23.732251521298174,10.425440738562008
9,142,745,Sikandrabad,64149,385099,388.3277665224149,992.0,UTTAR PRADESH,Bulandshahr,165.19292600287756,76.56680489951935,77.36052003928354,99.3484885145719,23.433195100480656,22.639479960716457,0.651511485428113
9,142,746,Bulandshahr,144302,867941,753.2718713508561,1152.0,UTTAR PRADESH,Bulandshahr,191.566956749919,64.01690898344474,62.47383958642292,94.07385278837688,35.98309101655527,37.52616041357708,5.926147211623112
9,142,747,Siana,85716,510190,873.7805324094309,584.0,UTTAR PRADESH,Bulandshahr,98.09785961200119,82.9784982065505,84.18498296700733,97.13658074631077,17.021501793449502,15.815017032992673,2.8634192536892407
9,142,748,Anupshahr,58068,348325,427.9938759341753,814.0,UTTAR PRADESH,Bulandshahr,135.67483850850883,74.46493935261608,74.49541916373906,95.31301704814926,25.53506064738391,25.50458083626094,4.686982951850738
9,142,749,Debai,73357,433395,681.4250739761144,636.0,UTTAR PRADESH,Bulandshahr,107.65233449946595,85.5575168149148,85.07436236487315,98.60146032719453,14.4424831850852,14.925637635126845,1.3985396728054724
9,142,750,Shikarpur,73259,435158,703.0599292431165,619.0,UTTAR PRADESH,Bulandshahr,104.20022099519657,83.91067152620427,85.0325557269414,94.82832138660731,16.089328473795725,14.9674442730586,5.171678613392685
9,142,751,Khurja,88678,519063,684.1277748177974,759.0,UTTAR PRADESH,Bulandshahr,129.62198475806287,69.8529850904418,68.5299623356413,94.82991316798677,30.147014909558184,31.470037664358692,5.17008683201322
9,143,752,Khair,70673,427226,688.3054586607964,621.0,UTTAR PRADESH,Aligarh,102.67679721370384,87.32801842584486,87.35019031313232,96.58727099946245,12.671981574155131,12.649809686867686,3.41272900053755
9,143,753,Gabhana,50966,308802,472.5,632.0,UTTAR PRADESH,Aligarh,107.86455026455026,98.09392426214856,98.05164227131813,99.19598680575935,1.9060757378514388,1.9483577286818665,0.8042328042328042
9,143,754,Atrauli,120225,737767,902.87,832.0,UTTAR PRADESH,Aligarh,133.1587050184412,89.54493762935995,89.86816385943024,95.78763482866596,10.455062370640054,10.131836140569765,4.21212356153156
9,143,755,Koil,305209,1810181,1046.181944917516,1730.0,UTTAR PRADESH,Aligarh,291.7360612871823,41.537503708192716,41.46732239219682,86.22992867542195,58.462496291807284,58.53267760780317,13.77007132457807
9,143,756,Iglas,64298,389913,540.1438603308566,722.0,UTTAR PRADESH,Aligarh,119.03865751730525,94.4202937578383,94.43839621761174,96.76012238863908,5.579706242161713,5.5616037823882545,3.239877611360916
9,144,757,Sasni,37760,224282,281.73719363394486,796.0,UTTAR PRADESH,Mahamaya Nagar,134.02561271005192,94.07397829518196,94.1843220338983,99.8970671936284,5.926021704818042,5.815677966101695,0.10293280637159707
9,144,758,Sikandra Rao,67950,404567,584.9728785629896,692.0,UTTAR PRADESH,Mahamaya Nagar,116.15923146201584,81.5743745782528,82.22222222222221,97.20841758679217,18.425625421747203,17.77777777777778,2.791582413207827
9,144,759,Hathras,93147,551540,491.7592707834889,1122.0,UTTAR PRADESH,Mahamaya Nagar,189.41584944925347,64.64227435906734,63.658518256089835,94.96908315310796,35.357725640932664,36.341481743910165,5.030916846892042
9,144,760,Sadabad,62003,384319,481.5341177097996,798.0,UTTAR PRADESH,Mahamaya Nagar,128.7613851639202,87.03004535294897,87.24900408044772,99.05925668952702,12.969954647051019,12.75099591955228,0.9407433104729749
9,145,761,Chhata,91096,569021,1056.563102415069,539.0,UTTAR PRADESH,Mathura,86.21917592217137,79.00165371752537,78.48533415298147,96.21319352260682,20.998346282474635,21.51466584701853,3.786806477393164
9,145,762,Mat,72571,439127,730.5724074189562,601.0,UTTAR PRADESH,Mathura,99.33443867170749,97.95252853957966,98.14939852007,99.31560514067804,2.0474714604203337,1.8506014799299995,0.684394859321957
9,145,763,Mahavan,57196,351792,475.1697188535452,740.0,UTTAR PRADESH,Mathura,120.36962316958734,84.26683949606586,84.58633470872088,96.9800264135891,15.733160503934144,15.413665291279111,3.0199735864109
9,145,764,Mathura,202262,1187244,1077.6939503360225,1102.0,UTTAR PRADESH,Mathura,187.6803706070125,51.80695796314827,50.318893316589374,91.19416045989583,48.193042036851736,49.681106683410626,8.805839540104165
9,146,765,Etmadpur,59287,367441,469.8820388961743,782.0,UTTAR PRADESH,Agra,126.17422053261356,91.69336029457791,91.71150505169767,98.59964853828902,8.306639705422095,8.288494948302326,1.4003514617109942
9,146,766,Agra,364604,2186655,542.6090305431485,4030.0,UTTAR PRADESH,Agra,671.9460596426741,18.861000020579375,17.58181479084157,67.12918695410161,81.13899997942062,82.41818520915844,32.87081304589839
