State_code_x,District_code,Subdistrict_code,Subdistrict_name_x,T/r/u,Number of households,population,Area,population density,Subdistrict_name_y,State_code_y,Subdistrict_name
1,6,22,Rajauri,Total,36640,189067,593.49,319.0,JAMMU & KASHMIR,1,Rajouri
1,6,22,Rajauri,Rural,32276,159581,580.6,275.0,JAMMU & KASHMIR,1,Rajouri
1,6,22,Rajauri,Urban,4364,29486,12.89,2288.0,JAMMU & KASHMIR,1,Rajouri
1,6,23,Budhal,Total,23676,123050,468.25,263.0,JAMMU & KASHMIR,1,Rajouri
1,6,23,Budhal,Rural,23676,123050,468.25,263.0,JAMMU & KASHMIR,1,Rajouri
1,6,23,Budhal,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Rajouri
1,6,24,Kalakote,Total,16243,72667,412.96,176.0,JAMMU & KASHMIR,1,Rajouri
1,6,24,Kalakote,Rural,16243,72667,412.96,176.0,JAMMU & KASHMIR,1,Rajouri
1,6,24,Kalakote,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Rajouri
1,6,25,Nowshehra,Total,18323,89416,482.03,185.0,JAMMU & KASHMIR,1,Rajouri
1,6,25,Nowshehra,Rural,17040,79008,477.4,165.0,JAMMU & KASHMIR,1,Rajouri
1,6,25,Nowshehra,Urban,1283,10408,4.63,2248.0,JAMMU & KASHMIR,1,Rajouri
1,6,26,Sunderbani,Total,14263,64215,333.43,193.0,JAMMU & KASHMIR,1,Rajouri
1,6,26,Sunderbani,Rural,13125,57285,333.24,172.0,JAMMU & KASHMIR,1,Rajouri
1,6,26,Sunderbani,Urban,1138,6930,0.19,36474.0,JAMMU & KASHMIR,1,Rajouri
1,7,27,Billawar,Total,28687,150882,675.12,223.0,JAMMU & KASHMIR,1,Kathua
1,7,27,Billawar,Rural,27785,145904,668.77,218.0,JAMMU & KASHMIR,1,Kathua
1,7,27,Billawar,Urban,902,4978,6.35,784.0,JAMMU & KASHMIR,1,Kathua
1,7,28,Bashohli,Total,13312,70810,344.24,206.0,JAMMU & KASHMIR,1,Kathua
1,7,28,Bashohli,Rural,12206,65377,341.63,191.0,JAMMU & KASHMIR,1,Kathua
1,7,28,Bashohli,Urban,1106,5433,2.61,2082.0,JAMMU & KASHMIR,1,Kathua
1,7,29,Bani,Total,8096,45996,468.12,98.0,JAMMU & KASHMIR,1,Kathua
1,7,29,Bani,Rural,8096,45996,468.12,98.0,JAMMU & KASHMIR,1,Kathua
1,7,29,Bani,Urban,0,0,0.0,0.0,JAMMU & KASHMIR,1,Kathua
1,7,30,Kathua,Total,41206,210949,563.89,374.0,JAMMU & KASHMIR,1,Kathua
1,7,30,Kathua,Rural,27005,139941,533.69,262.0,JAMMU & KASHMIR,1,Kathua
1,7,30,Kathua,Urban,14201,71008,30.2,2351.0,JAMMU & KASHMIR,1,Kathua
1,7,31,Hiranagar,Total,28282,137798,388.92,354.0,JAMMU & KASHMIR,1,Kathua
1,7,31,Hiranagar,Rural,26559,129504,384.92,336.0,JAMMU & KASHMIR,1,Kathua
1,7,31,Hiranagar,Urban,1723,8294,4.0,2074.0,JAMMU & KASHMIR,1,Kathua
1,8,32,Sopore,Total,33709,219913,170.09,1293.0,JAMMU & KASHMIR,1,Baramula
1,8,32,Sopore,Rural,22517,148621,151.19,983.0,JAMMU & KASHMIR,1,Baramula
1,8,32,Sopore,Urban,11192,71292,18.9,3772.0,JAMMU & KASHMIR,1,Baramula
