operator,city_name,deployment_type,status,lat,long
Reliance Jio,Rajpipla,5G NR,Commercial Availability,21.87151,73.50305
Reliance Jio,Salem,5G NR,Commercial Availability,11.66433,78.14601
Reliance Jio,Siliguri,5G NR,Commercial Availability,26.70838,88.42687
Reliance Jio,Solapur,5G NR,Commercial Availability,17.65992,75.90639
Reliance Jio,Thrissur,5G NR,Commercial Availability,10.5256264,76.2132542
Reliance Jio,Tiruchirappalli,5G NR,Commercial Availability,10.79048,78.70467
Reliance Jio,Tirumala,5G NR,Commercial Availability,13.67818,79.35219
Reliance Jio,Udaipur,5G NR,Commercial Availability,24.578721,73.6862571
Reliance Jio,Ujjain,5G NR,Commercial Availability,23.17960965,75.78871946
Reliance Jio,Valsad,5G NR,Commercial Availability,20.59923,72.93425
Reliance Jio,Vellore,5G NR,Commercial Availability,12.91652,79.1325
Reliance Jio,Veraval,5G NR,Commercial Availability,20.9101099,70.365279
Reliance Jio,Wadhwan,5G NR,Commercial Availability,18.31394,73.24723
Reliance Jio,Warangal,5G NR,Commercial Availability,17.9689,79.59405
Reliance Jio,Kakinada,5G NR,Commercial Availability,16.98906,82.24746
Reliance Jio,Kurnool,5G NR,Commercial Availability,15.82813,78.03728
Reliance Jio,Silchar,5G NR,Commercial Availability,24.83327,92.77891
Reliance Jio,Davangere,5G NR,Commercial Availability,14.46634,75.92384
Reliance Jio,Shivamogga,5G NR,Commercial Availability,13.92993,75.5681
Reliance Jio,Bidar,5G NR,Commercial Availability,17.91488,77.50461
Reliance Jio,Hosapete,5G NR,Commercial Availability,15.26885,76.39092
Reliance Jio,Betageri,5G NR,Commercial Availability,15.4415,75.64699
Reliance Jio,Malappuram,5G NR,Commercial Availability,11.07318,76.074
Reliance Jio,Palakkad,5G NR,Commercial Availability,10.78673,76.65479
Reliance Jio,Kannur,5G NR,Commercial Availability,11.90135,75.38679
Reliance Jio,Tiruppur,5G NR,Commercial Availability,11.10852,77.34107
Reliance Jio,Nizamabad,5G NR,Commercial Availability,18.6725,78.09409
Reliance Jio,Bareilly,5G NR,Commercial Availability,28.36704,79.43044
Reliance Jio,Aizawl,5G NR,Commercial Availability,23.72711,92.71764
Reliance Jio,Alappuzha,5G NR,Commercial Availability,9.49807,76.33885
Reliance Jio,Aligarh,5G NR,Commercial Availability,27.89739,78.08801
Reliance Jio,Ambala,5G NR,Commercial Availability,30.37818,76.7767
Reliance Jio,Rourkela,5G NR,Commercial Availability,22.26042,84.85358
Reliance Jio,Amravati,5G NR,Commercial Availability,20.93742,77.77955
Reliance Jio,Amritsar,5G NR,Commercial Availability,31.63398,74.87226
Reliance Jio,Asansol,5G NR,Commercial Availability,23.67395,86.9524
Reliance Jio,Bagalkot,5G NR,Commercial Availability,16.17254,75.65572
Reliance Jio,Jamshedpur,5G NR,Commercial Availability,22.80457,86.20288
Reliance Jio,Ranchi,5G NR,Commercial Availability,23.3441,85.30956
Reliance Jio,Muzaffarpur,5G NR,Commercial Availability,26.12089,85.36472
Reliance Jio,Patna,5G NR,Commercial Availability,25.59409,85.13756
Reliance Jio,Bahadurgarh,5G NR,Commercial Availability,28.69245,76.92397
Reliance Jio,Balasore,5G NR,Commercial Availability,21.48693,86.9246
Reliance Jio,Ballari,5G NR,Commercial Availability,15.13939,76.92144
Reliance Jio,Baripada,5G NR,Commercial Availability,21.93223,86.75169
Reliance Jio,Bhadrak,5G NR,Commercial Availability,21.05827,86.49584
Reliance Jio,Bhilai,5G NR,Commercial Availability,21.19385,81.35094
Reliance Jio,Bikaner,5G NR,Commercial Availability,28.02293,73.31192
Reliance Jio,Bilaspur,5G NR,Commercial Availability,22.07963,82.13914
Reliance Jio,Brahmapur,5G NR,Commercial Availability,19.31496,84.79409
Reliance Jio,Chickmagaluru,5G NR,Commercial Availability,13.31526,75.7754
Reliance Jio,Chittoor,5G NR,Commercial Availability,13.21718,79.10033
Reliance Jio,Dhanbad,5G NR,Commercial Availability,23.79565,86.43039
Reliance Jio,Dharmapuri,5G NR,Commercial Availability,12.10653,78.13614
Reliance Jio,Dharwad,5G NR,Commercial Availability,15.45892,75.00781
Reliance Jio,Dimapur,5G NR,Commercial Availability,25.86299,93.75367
Reliance Jio,Durg,5G NR,Commercial Availability,21.19045,81.28492
Reliance Jio,Durgapur,5G NR,Commercial Availability,23.52044,87.31192
Reliance Jio,Eluru,5G NR,Commercial Availability,16.71066,81.09524
Reliance Jio,Erode,5G NR,Commercial Availability,11.34104,77.71716
Reliance Jio,Betageri,5G NR,Commercial Availability,15.4415,75.64699
Reliance Jio,Hisar,5G NR,Commercial Availability,29.14919,75.72165
Reliance Jio,Hassan,5G NR,Commercial Availability,28.71206,75.77919
Reliance Jio,Panipat,5G NR,Commercial Availability,29.39095,76.9635
Reliance Jio,Rohtak,5G NR,Commercial Availability,28.89552,76.60661
Reliance Jio,Itanagar,5G NR,Commercial Availability,27.08437,93.60532
Reliance Jio,Jhansi,5G NR,Commercial Availability,25.44843,78.56846
Reliance Jio,Jharsuguda,5G NR,Commercial Availability,21.85544,84.00617
Reliance Jio,Kadapa,5G NR,Commercial Availability,14.46735,78.82413
Reliance Jio,Kalaburagi,5G NR,Commercial Availability,17.32973,76.8343
Reliance Jio,Karnal,5G NR,Commercial Availability,29.68569,76.99048
Reliance Jio,Kohima,5G NR,Commercial Availability,25.6586,94.10533
Reliance Jio,Kolhapur,5G NR,Commercial Availability,16.70499,74.24325
Reliance Jio,Kollam,5G NR,Commercial Availability,8.89321,76.61414
Reliance Jio,Korba,5G NR,Commercial Availability,22.35945,82.75006
Reliance Jio,Mandya,5G NR,Commercial Availability,12.52216,76.90092
Reliance Jio,Moradabad,5G NR,Commercial Availability,28.83865,78.77333
Reliance Jio,Nagaon,5G NR,Commercial Availability,26.34637,92.68404
Reliance Jio,Nalgonda,5G NR,Commercial Availability,17.05757,79.26203
Reliance Jio,Nanded-Waghala,5G NR,Commercial Availability,19.14289,77.30372
Reliance Jio,Narasaraopet,5G NR,Commercial Availability,16.23535,80.0479
Reliance Jio,Ongole,5G NR,Commercial Availability,15.50572,80.04992
Reliance Jio,Panjim,5G NR,Commercial Availability,15.49093,73.82785
Reliance Jio,Puducherry,5G NR,Commercial Availability,11.91386,79.81447
Reliance Jio,Puri,5G NR,Commercial Availability,19.81338,85.83147
Reliance Jio,Kota,5G NR,Commercial Availability,25.21382,75.86475
Reliance Jio,Raipur,5G NR,Commercial Availability,21.25138,81.62964
Reliance Jio,Rajamahendravaram,5G NR,Commercial Availability,17.00054,81.80403
Reliance Jio,Rajnandgaon,5G NR,Commercial Availability,21.0971,81.03022
Reliance Jio,Saharanpur,5G NR,Commercial Availability,29.96708,77.55102
Reliance Jio,Sambalpur,5G NR,Commercial Availability,21.46687,83.98117
Reliance Jio,Sangli,5G NR,Commercial Availability,16.8524,74.58148
Reliance Jio,Sirsa,5G NR,Commercial Availability,29.53359,75.0177
Reliance Jio,Sonipat,5G NR,Commercial Availability,28.92877,77.09128
Reliance Jio,Srikakulam,5G NR,Commercial Availability,18.29697,83.89678
Reliance Jio,Thoothukudi,5G NR,Commercial Availability,8.76417,78.13484
Reliance Jio,Agartala,5G NR,Commercial Availability,23.83146,91.28678
Reliance Jio,Tumakuru,5G NR,Commercial Availability,13.33917,77.114
Reliance Jio,Udupi,5G NR,Commercial Availability,13.33712,74.7466
Reliance Jio,Vijayapura,5G NR,Commercial Availability,16.83017,75.71003
Reliance Jio,Shillong,5G NR,Commercial Availability,25.57877,91.89325
Reliance Jio,Imphal,5G NR,Commercial Availability,24.81701,93.93684
Reliance Jio,Vizianagaram,5G NR,Commercial Availability,18.10666,83.39555
Reliance Jio,Adilabad,5G NR,Commercial Availability,19.66406,78.53201
Reliance Jio,Ajmer,5G NR,Commercial Availability,26.4499,74.63992
Reliance Jio,Ambikapur,5G NR,Commercial Availability,23.13549,83.18179
Reliance Jio,Anantapur,5G NR,Commercial Availability,14.68189,77.60059
Reliance Jio,Balangir,5G NR,Commercial Availability,20.70742,83.48427
Reliance Jio,Bhimavaram,5G NR,Commercial Availability,16.54489,81.52124
Reliance Jio,Chirala,5G NR,Commercial Availability,15.81358,80.35473
Reliance Jio,Chitradurga,5G NR,Commercial Availability,14.23056,76.39845
Reliance Jio,Cuddalore,5G NR,Commercial Availability,11.7447,79.76802
Reliance Jio,Dhamtari,5G NR,Commercial Availability,20.7015,81.55416
Reliance Jio,Dibrugarh,5G NR,Commercial Availability,27.47283,94.91196
Reliance Jio,Dindigul,5G NR,Commercial Availability,10.36731,77.98029
Reliance Jio,Gaya,5G NR,Commercial Availability,24.79545,84.99943
Reliance Jio,Guntakal,5G NR,Commercial Availability,15.16741,77.37362
Reliance Jio,Jalandhar,5G NR,Commercial Availability,31.32602,75.57618
Reliance Jio,Jalgaon,5G NR,Commercial Availability,21.00766,75.5626
Reliance Jio,Jorhat,5G NR,Commercial Availability,26.74652,94.20259
Reliance Jio,Kanchipuram,5G NR,Commercial Availability,12.818259,79.694695
Reliance Jio,Karur,5G NR,Commercial Availability,10.96008,78.0766
Reliance Jio,Kumbakonam,5G NR,Commercial Availability,10.96169,79.38811
Reliance Jio,Latur,5G NR,Commercial Availability,18.40879,76.56038
Reliance Jio,Mahbubnagar,5G NR,Commercial Availability,16.73751,78.00812
Reliance Jio,Mathura,5G NR,Commercial Availability,27.49241,77.67367
Reliance Jio,Nagercoil,5G NR,Commercial Availability,8.18329,77.4119
Reliance Jio,Nalco,5G NR,Commercial Availability,20.86526,85.18422
Reliance Jio,Nandyala,5G NR,Commercial Availability,14.67637,75.80328
Reliance Jio,Phagwara,5G NR,Commercial Availability,31.22402,75.7708
Reliance Jio,Ramagundam,5G NR,Commercial Availability,18.75955,79.48164
Reliance Jio,Tenali,5G NR,Commercial Availability,16.23953,80.64934
Reliance Jio,Tezpur,5G NR,Commercial Availability,26.65285,92.79256
Reliance Jio,Thanesar,5G NR,Commercial Availability,29.96961,76.81975
Reliance Jio,Thanjavur,5G NR,Commercial Availability,10.787,79.13783
Reliance Jio,Tiruvannamalai,5G NR,Commercial Availability,12.22528,79.0747
Reliance Jio,Yamuna Nagar,5G NR,Commercial Availability,30.12905,77.26739
Reliance Jio,Haridwar,5G NR,Commercial Availability,29.94569,78.16425
Reliance Jio,Roorkee,5G NR,Commercial Availability,29.85426,77.888
Reliance Jio,Gorakhpur,5G NR,Commercial Availability,26.76055,83.37317
Reliance Jio,Mancherial,5G NR,Commercial Availability,18.8756,79.45914
Reliance Jio,Patiala,5G NR,Commercial Availability,30.33978,76.38688
Reliance Jio,Alwar,5G NR,Commercial Availability,27.55299,76.63457
Reliance Jio,Talcher,5G NR,Commercial Availability,20.9501,85.21682
Reliance Jio,Raigarh,5G NR,Commercial Availability,21.8974,83.39496
Reliance Jio,Proddatur,5G NR,Commercial Availability,14.74919,78.55316
Reliance Jio,Madanapalle,5G NR,Commercial Availability,13.56035,78.50361
Reliance Jio,Hindupur,5G NR,Commercial Availability,13.81854,77.49888
Reliance Jio,Rudrapur,5G NR,Commercial Availability,28.98751,79.41412
Reliance Jio,Rishikesh,5G NR,Commercial Availability,30.08693,78.26761
Reliance Jio,Haldwani,5G NR,Commercial Availability,29.21826,79.51298
Reliance Jio,Sikar,5G NR,Commercial Availability,27.6094,75.13991
Reliance Jio,Sri Ganganagar,5G NR,Commercial Availability,29.90384,73.87719
Reliance Jio,Bhilwara,5G NR,Commercial Availability,25.32138,74.58695
Reliance Jio,Mandi Gobindgarh,5G NR,Commercial Availability,30.66374,76.30004
Reliance Jio,Khanna,5G NR,Commercial Availability,30.69785,76.21123
Reliance Jio,Bathinda,5G NR,Commercial Availability,30.21099,74.94547
Reliance Jio,Parbhani,5G NR,Commercial Availability,19.261,76.77667
Reliance Jio,Akola,5G NR,Commercial Availability,20.70593,77.0219
Reliance Jio,Sagar,5G NR,Commercial Availability,23.838656,78.737815
Reliance Jio,Rewa,5G NR,Commercial Availability,24.53528,81.303633
Reliance Jio,Ratlam,5G NR,Commercial Availability,23.33417,75.03763
Reliance Jio,Chhindwara,5G NR,Commercial Availability,22.05744,78.93817
Reliance Jio,Shimla,5G NR,Commercial Availability,31.10481,77.1734
Reliance Jio,Nadauna,5G NR,Commercial Availability,25.30709,84.94794
Reliance Jio,Hamirpur,5G NR,Commercial Availability,31.68617,76.52131
Reliance Jio,Savar Kundla,5G NR,Commercial Availability,21.3377,71.30524
Reliance Jio,Ankleshwar,5G NR,Commercial Availability,21.62642,73.0152
Reliance Jio,Bhagalpur,5G NR,Commercial Availability,25.24143,86.99244
Reliance Jio,Bokaro Steel City,5G NR,Commercial Availability,23.6693,86.15111
Reliance Jio,Bongaigaon,5G NR,Commercial Availability,26.501,90.53524
Reliance Jio,Chandrapur,5G NR,Commercial Availability,19.97046,79.30148
Reliance Jio,Deoghar,5G NR,Commercial Availability,24.47632,86.69132
Reliance Jio,Diu,5G NR,Commercial Availability,20.71441,70.98737
Reliance Jio,Faizabad,5G NR,Commercial Availability,26.77325,82.14416
Reliance Jio,Firozabad,5G NR,Commercial Availability,27.1591,78.39576
Reliance Jio,Gandhidham,5G NR,Commercial Availability,23.0753,70.13367
Reliance Jio,Hazaribagh,5G NR,Commercial Availability,23.99662,85.36911
Reliance Jio,Ichalkaranji,5G NR,Commercial Availability,16.709,74.45608
Reliance Jio,Katihar,5G NR,Commercial Availability,25.55205,87.57186
Reliance Jio,Mormugao,5G NR,Commercial Availability,15.38744,73.81544
