sdtname,dtname,stname,number_of_cell_towers
Abdasa,Kachchh,GUJARAT,1
Abohar,Fazilka,PUNJAB,1
Achalpur,Amravati,MAHARASHTRA,2
Addanki,Prakasam,ANDHRA PRADESH,2
Adilabad,Adilabad,TELANGANA,1
Adoni,Kurnool,ANDHRA PRADESH,2
Adoor,Pathanamthitta,KERALA,2
Afzalpur,Kalaburagi,KARNATAKA,2
Agastheeswaram,Kanniyakumari,TAMILNADU,2
Agra,Agra,UTTAR PRADESH,3
Ahmadabad City,Ahmadabad,GUJARAT,4
Ahmadpur,Latur,MAHARASHTRA,1
Ajmer,Ajmer,RAJASTHAN,2
Ajnala,Amritsar,PUNJAB,1
Akhnoor,Jammu,JAMMU & KASHMIR,2
Akola,Akola,MAHARASHTRA,7
Akot,Akola,MAHARASHTRA,1
Alandur,Kancheepuram,TAMILNADU,7
Alangudi,Pudukkottai,TAMILNADU,1
Alangulam,Tirunelveli,TAMILNADU,1
Alathur,Palakkad,KERALA,1
Algapur,Hailakandi,ASSAM,1
Alibag,Raigarh,MAHARASHTRA,2
Alipurduar - I,Alipurduar,WEST BENGAL,1
Allahabad,Prayagraj,UTTAR PRADESH,4
Alot,Ratlam,MADHYA PRADESH,1
Alur,Hassan,KARNATAKA,1
Aluva,Ernakulam,KERALA,8
Alwar,Alwar,RAJASTHAN,2
Amadalavalasa,Srikakulam,ANDHRA PRADESH,1
Amalapuram,East Godavari,ANDHRA PRADESH,1
Amalner,Jalgaon,MAHARASHTRA,2
Amanganj,Panna,MADHYA PRADESH,2
Amarpatan,Satna,MADHYA PRADESH,1
Amb,Una,HIMACHAL PRADESH,2
Ambad,Jalna,MAHARASHTRA,3
Ambajipeta,East Godavari,ANDHRA PRADESH,2
Ambala,Ambala,HARYANA,3
Ambalappuzha,Alappuzha,KERALA,3
Ambattur,Thiruvallur,TAMILNADU,7
Ambegaon,Pune,MAHARASHTRA,1
Ambejogai,Bid,MAHARASHTRA,2
Amber,Jaipur,RAJASTHAN,1
Ambikapur,Surguja,CHATTISGARH,1
Ambur,Vellore,TAMILNADU,1
Amguri,Sivasagar,ASSAM,1
Amloh,Fatehgarh Sahib,PUNJAB,1
Amravati,Amravati,MAHARASHTRA,3
Amreli,Amreli,GUJARAT,1
Amritsar- II,Amritsar,PUNJAB,3
Anakapalle,Visakhapatnam,ANDHRA PRADESH,2
Anand,Anand,GUJARAT,7
Anantapur,Anantapur,ANDHRA PRADESH,1
Anantnag,Anantnag,JAMMU & KASHMIR,3
Andipatti,Theni,TAMILNADU,1
Anekal,Bangalore,KARNATAKA,10
Anini,Dibang Valley,ARUNACHAL PRADESH,1
Anjangaon Surji,Amravati,MAHARASHTRA,3
Anjar,Kachchh,GUJARAT,2
Anklesvar,Bharuch,GUJARAT,2
Arani,Tiruvannamalai,TAMILNADU,1
Araria,Araria,BIHAR,1
Arcot,Vellore,TAMILNADU,1
Ardhapur,Nanded,MAHARASHTRA,1
Arni,Yavatmal,MAHARASHTRA,1
Aron,Guna,MADHYA PRADESH,1
Arrah,Bhojpur,BIHAR,2
Arsikere,Hassan,KARNATAKA,1
Aruppukkottai,Virudhunagar,TAMILNADU,1
Arwal,Arwal,BIHAR,1
Asansol Kulti Township,Paschim Bardhaman,WEST BENGAL,2
Asind,Bhilwara,RAJASTHAN,1
Atpadi,Sangli,MAHARASHTRA,3
Attabira,Bargarh,ODISHA,1
Attur,Salem,TAMILNADU,2
Aurangabad,Aurangabad,MAHARASHTRA,2
Ausa,Latur,MAHARASHTRA,1
Avanashi,Tiruppur,TAMILNADU,1
Avanigadda,Krishna,ANDHRA PRADESH,1
Avudayarkoil,Pudukkottai,TAMILNADU,2
Awantipora,Pulwama,JAMMU & KASHMIR,1
Azamnagar,Katihar,BIHAR,1
BHANJANAGAR,Ganjam,ODISHA,1
BUGUDA,Ganjam,ODISHA,1
Bada Malhera,Chhatarpur,MADHYA PRADESH,1
Badami,Bagalkote,KARNATAKA,1
Badarwas,Shivpuri,MADHYA PRADESH,2
Baddi,Solan,HIMACHAL PRADESH,3
Badwara,Katni,MADHYA PRADESH,1
Bagaha,Pashchim Champaran,BIHAR,1
Bagalkot,Bagalkote,KARNATAKA,2
Baghmara-Cum-Katras,Dhanbad,JHARKHAND,2
Baglan,Nashik,MAHARASHTRA,1
Bagnan - I,Haora,WEST BENGAL,1
Bahadurgarh,Jhajjar,HARYANA,2
Bahadurpur,Darbhanga,BIHAR,2
Bahraich,Bahraich,UTTAR PRADESH,1
Bairgania,Sitamarhi,BIHAR,1
Bakhri,Begusarai,BIHAR,1
Bakshi Ka Talab,Lucknow,UTTAR PRADESH,1
Balaghat,Balaghat,MADHYA PRADESH,1
Balangir,Balangir,ODISHA,2
Balapur,Akola,MAHARASHTRA,1
Balarampur,Puruliya,WEST BENGAL,1
Balasinor,Mahisagar,GUJARAT,1
Baleshwar (M),Baleshwar,ODISHA,3
Bali Chowki,Mandi,HIMACHAL PRADESH,1
Balia,Begusarai,BIHAR,1
Balijana,Goalpara,ASSAM,1
Baloda,Janjgir - Champa,CHATTISGARH,1
Balrampur,Balrampur,UTTAR PRADESH,2
Balurghat,Dakshin Dinajpur,WEST BENGAL,1
Banaganapalle,Kurnool,ANDHRA PRADESH,1
Banda,Banda,UTTAR PRADESH,1
Bangalore East,Bangalore,KARNATAKA,1
Bangalore North,Bangalore,KARNATAKA,6
Bangalore South,Bangalore,KARNATAKA,2
Bangarapet,Kolar,KARNATAKA,2
Banka,Banka,BIHAR,1
Bankura - I,Bankura,WEST BENGAL,2
Bantwaram,Rangareddy,TELANGANA,1
Bapatla,Guntur,ANDHRA PRADESH,2
Barahiya,Lakhisarai,BIHAR,1
Baramati,Pune,MAHARASHTRA,2
Baramulla,Baramula,JAMMU & KASHMIR,3
Baran,Baran,RAJASTHAN,1
Barara,Ambala,HARYANA,2
Barasat - I,North Twenty Four Parganas,WEST BENGAL,1
Barasat - II,North Twenty Four Parganas,WEST BENGAL,1
Barauli,Gopalganj,BIHAR,1
Barauni,Begusarai,BIHAR,1
Barbhag,Nalbari,ASSAM,1
