sdtname,dtname,stname,number_of_cell_towers
Abohar,Fazilka,PUNJAB,1
Abu Road,Sirohi,RAJASTHAN,52
Addanki,Prakasam,ANDHRA PRADESH,8
Adilabad,Adilabad,TELANGANA,3
Adoor,Pathanamthitta,KERALA,53
Agastheeswaram,Kanniyakumari,TAMILNADU,1
Agiripalle,Krishna,ANDHRA PRADESH,4
Agra,Agra,UTTAR PRADESH,54
Ahmadabad City,Ahmadabad,GUJARAT,794
Ahmadpur,Latur,MAHARASHTRA,2
Ahore,Jalor,RAJASTHAN,31
Ajmer,Ajmer,RAJASTHAN,21
Ajnala,Amritsar,PUNJAB,3
Akola,Akola,MAHARASHTRA,34
Alair,Yadadri Bhuvanagiri,TELANGANA,5
Alandur,Kancheepuram,TAMILNADU,233
Alathur,Palakkad,KERALA,10
Alibag,Raigarh,MAHARASHTRA,27
Allagadda,Kurnool,ANDHRA PRADESH,1
Allahabad,Prayagraj,UTTAR PRADESH,11
Alot,Ratlam,MADHYA PRADESH,3
Aluva,Ernakulam,KERALA,192
Amaravathi,Guntur,ANDHRA PRADESH,6
Ambad,Jalna,MAHARASHTRA,1
Ambala,Ambala,HARYANA,124
Ambalappuzha,Alappuzha,KERALA,93
Ambarnath,Thane,MAHARASHTRA,25
Ambattur,Thiruvallur,TAMILNADU,201
Ambejogai,Bid,MAHARASHTRA,53
Amber,Jaipur,RAJASTHAN,10
Amberpet,Hyderabad,TELANGANA,75
Ambikapur,Surguja,CHATTISGARH,1
Ameerpet,Hyderabad,TELANGANA,42
Amirgadh,Banas Kantha,GUJARAT,31
Amloh,Fatehgarh Sahib,PUNJAB,10
Amravati,Amravati,MAHARASHTRA,19
Amreli,Amreli,GUJARAT,31
Amritsar -I,Amritsar,PUNJAB,1
Amritsar- II,Amritsar,PUNJAB,93
Anakapalle,Visakhapatnam,ANDHRA PRADESH,5
Anand,Anand,GUJARAT,112
Anandapuram,Visakhapatnam,ANDHRA PRADESH,5
Anandpur Sahib,Rupnagar,PUNJAB,10
Anantapur,Anantapur,ANDHRA PRADESH,26
Anekal,Bangalore,KARNATAKA,190
Anjar,Kachchh,GUJARAT,16
Anklesvar,Bharuch,GUJARAT,215
Aonla,Bareilly,UTTAR PRADESH,1
Arakonam,Vellore,TAMILNADU,21
Arang,Raipur,CHATTISGARH,2
Arcot,Vellore,TAMILNADU,2
Armur,Nizamabad,TELANGANA,1
Asansol Kulti Township,Paschim Bardhaman,WEST BENGAL,6
Asifnagar,Hyderabad,TELANGANA,54
Aswapuram,Bhadradri Kothagudem,TELANGANA,1
Athmalgola,Patna,BIHAR,1
Atmakur,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,2
Atreyapuram,East Godavari,ANDHRA PRADESH,5
Attur,Dindigul,TAMILNADU,5
Attur,Salem,TAMILNADU,1
Aundha (Nagnath),Hingoli,MAHARASHTRA,21
Aurangabad,Aurangabad,BIHAR,7
Aurangabad,Aurangabad,MAHARASHTRA,228
Aut,Mandi,HIMACHAL PRADESH,6
Avanashi,Tiruppur,TAMILNADU,6
Azamgarh,Azamgarh,UTTAR PRADESH,5
Azara,Kamrup Metropolitan,ASSAM,1
Babra,Amreli,GUJARAT,17
Badnapur,Jalna,MAHARASHTRA,20
Bagalkot,Bagalkote,KARNATAKA,2
Bagha Purana,Moga,PUNJAB,1
Baghmara-Cum-Katras,Dhanbad,JHARKHAND,1
Bagli,Dewas,MADHYA PRADESH,2
Bahadurgarh,Jhajjar,HARYANA,12
Bahour Taluk,Puducherry,PUDUCHERRY,1
