state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,58,0.0013730735541298738,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,44,0.00079032924397823,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,50,0.0009928120408244311,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,2,0.017543859649122806,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,17,0.0003178580109567526,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,62,0.0014023342079073555,6.717633221749751
7,DELHI,1483,7,DELHI,444000,26,0.01753202966958867,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,56,0.00016362834159753856,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,91,0.00037770620268295923,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,113,0.001200046727483194,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,2,0.0002818489289740699,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,8,4.9936019475047596e-05,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,5,0.00030158634417033596,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,9,0.00040309938639315626,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,6,0.00028461647929415115,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,7,0.0006675567423230974,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,7,0.0003120959472111998,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,59,0.0007521864402457992,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,153,0.0017239048134126554,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,57,0.0007150563263667611,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,60,0.0003853391305464751,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,151,0.0004898589465761779,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,216,0.001101905889074807,1.4539036036403705
25,DAMAN & DIU,401,25,DAMAN & DIU,50000,1,0.0024937655860349127,124.68827930174564
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,349,0.0011341737268168715,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,175,0.0010923504260166661,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,173,0.0009020235568926592,1.5746307178126189
30,GOA,3702,30,GOA,502000,25,0.00675310642895732,135.602377093463
32,KERALA,38863,32,KERALA,269000,290,0.007462110490698093,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,5,0.010438413361169102,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,80,0.0007137949802368015,2.7570331111646458
