state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,15,0.00035510522951634667,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,14,0.000251468395811255,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,41,0.0008141058734760336,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,1,0.008771929824561403,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,12,0.00022437036067535478,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,28,0.0006333122229259025,6.717633221749751
7,DELHI,1483,7,DELHI,444000,24,0.016183412002697236,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,31,9.057997481292313e-05,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,57,0.0002365852038783371,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,19,0.00020177776833788219,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,1,0.00014092446448703494,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,2,1.2484004868761899e-05,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,3,0.00018095180650220158,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,6,0.0002687329242621042,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,4,0.0001897443195294341,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,4,0.00038146099561319857,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,6,0.0002675108118953141,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,23,0.0002932252224687014,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,120,0.0013520822065981612,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,20,0.0002508969566199162,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,34,0.00021835884064300257,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,34,0.00011029936545423874,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,72,0.00036730196302493573,1.4539036036403705
25,DAMAN & DIU,401,25,DAMAN & DIU,50000,1,0.0024937655860349127,124.68827930174564
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,120,0.0003899737742636808,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,87,0.0005430542117911426,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,126,0.0006569651339218211,1.5746307178126189
30,GOA,3702,30,GOA,502000,25,0.00675310642895732,135.602377093463
32,KERALA,38863,32,KERALA,269000,101,0.00259887296400175,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,4,0.008350730688935281,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,60,0.0005353462351776012,2.7570331111646458
