state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,43,0.0010179683246135272,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,30,0.000538860848166975,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,9,0.0001787061673483976,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,1,0.008771929824561403,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,5,9.348765028139783e-05,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,34,0.000769021984981453,6.717633221749751
7,DELHI,1483,7,DELHI,444000,1,0.0006743088334457181,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,25,7.304836678461543e-05,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,34,0.00014112099880462213,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,94,0.0009982689591453119,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,1,0.00014092446448703494,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,6,3.74520146062857e-05,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,2,0.00012063453766813439,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,3,0.0001343664621310521,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,2,9.487215976471705e-05,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,3,0.00028609574670989893,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,1,4.458513531588568e-05,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,36,0.0004589612177770978,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,33,0.00037182260681449433,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,37,0.00046415936974684497,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,26,0.00016698028990347254,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,117,0.0003795595811219392,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,143,0.0007295025098967474,1.4539036036403705
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,228,0.0007409501711009935,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,88,0.0005492962142255235,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,47,0.000245058422970838,1.5746307178126189
32,KERALA,38863,32,KERALA,269000,189,0.004863237526696344,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,1,0.0020876826722338203,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,20,0.00017844874505920037,2.7570331111646458
